,New_name,Old_name,Question,Option
0,socio1_0,socio1. In which country do you work?, In which country do you work?,
1,rse1_0,rse1. Do you write software for research as part of your job?, Do you write software for research as part of your job?,
2,edu1_0,edu1. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
3,edu2_0,edu2. In which discipline is your highest academic qualification?, In which discipline is your highest academic qualification?,
4,edu4_0,"edu4. List any professional qualifications you hold (eg. P. Eng, PMP, …)"," List any professional qualifications you hold (eg. P. Eng, PMP, …)",
7,time2acan_0,"time2acan. On average, how much of the time you spend developing software is spent on new development/enhancement?"," On average, how much of the time you spend developing software is spent on new development/enhancement?",
8,time2bcan_0,"time2bcan. On average, how much of the time you spend developing software is devoted to maintenance and support activities?"," On average, how much of the time you spend developing software is devoted to maintenance and support activities?",
11,soft1can_0,soft1can. How many years of software development experience do you have?, How many years of software development experience do you have?,
12,soft2can_0,soft2can. Do you consider yourself a professional software developer?, Do you consider yourself a professional software developer?,
13,proj1_can_0,proj1_can. How many software projects are you currently involved in?, How many software projects are you currently involved in?,
14,proj2_can_0,proj2_can. How many software developers typically work on your projects?, How many software developers typically work on your projects?,
15,proj5_can_0,proj5_can. Do your research software projects typically include a project manager?, Do your research software projects typically include a project manager?,
16,proj6_can_0,proj6_can. What development methodology does your current project use?, What development methodology does your current project use?,
17,canarie1_can_0,canarie1_can. Have you ever visited the Research Software Registry at science.canarie.ca?, Have you ever visited the Research Software Registry at science.canarie.ca?,
18,canarie2_can_0,canarie2_can. How many software components from science.canarie.ca have you integrated into your projects?, How many software components from science.canarie.ca have you integrated into your projects?,
19,currentEmp1_0,currentEmp1. What type of organization do you work for?, What type of organization do you work for?,
20,currentEmp5_0,currentEmp5. What is your current job title?, What is your current job title?,
21,currentEmp7_0,currentEmp7. In which application area do you primarily work?, In which application area do you primarily work?,
22,currentEmp10_0,currentEmp10. What is the nature of your current employment?, What is the nature of your current employment?,
23,group1_can_0,group1_can. Do you work within a group that provides software development help or expertise to researchers from across your organization?, Do you work within a group that provides software development help or expertise to researchers from across your organization?,
24,group1a_can_0,group1a_can. Is there such a group within your organization?, Is there such a group within your organization?,
25,group2_can_0,group2_can. Do you think such a group would have value?, Do you think such a group would have value?,
26,group3_can_0,group3_can. Would you be interested in participating in such a group?, Would you be interested in participating in such a group?,
27,paper1_0,paper1. Have you contributed software to research that has been published in a journal or presented at a conference?, Have you contributed software to research that has been published in a journal or presented at a conference?,
28,paper2_0,"paper2. In general, when your software contributes to a paper, are you acknowledged in that paper?"," In general, when your software contributes to a paper, are you acknowledged in that paper?",
29,paper3_0,paper3. Are you generally named as the main author of the paper?, Are you generally named as the main author of the paper?,
30,paper4_0,paper4. Are you generally named as a co-author of the paper?, Are you generally named as a co-author of the paper?,
32,open1_can_0,"open1_can. When you release code, how often do you use an open source license?"," When you release code, how often do you use an open source license?",
33,open2_can_0,open2_can. List any open repositories (eg. GitHub) to which your software projects have been published., List any open repositories (eg. GitHub) to which your software projects have been published.,
35,skill1_0,"skill1. In your opinion, what are the three most important skills that a Research Software Developer must possess? These skills can be technical and non-technical."," In your opinion, what are the three most important skills that a Research Software Developer must possess? These skills can be technical and non-technical.",
36,skill2_0,skill2. What three skills would you like to acquire or improve to help your work as a Research Software Developer? These skills can be technical and non-technical., What three skills would you like to acquire or improve to help your work as a Research Software Developer? These skills can be technical and non-technical.,
37,tool1_0,tool1. What are the three tools or services you use most often in your software work?, What are the three tools or services you use most often in your software work?,
38,tool2_0,tool2. What is your Operating System of choice for development?, What is your Operating System of choice for development?,
39,tool3_can_0,tool3_can. What is your Operating System of choice for deployment?, What is your Operating System of choice for deployment?,
40,tool4_can_0,"tool4_can. What programming languages do you use in developing research software? Please list in order, beginning with most frequently used."," What programming languages do you use in developing research software? Please list in order, beginning with most frequently used.",
41,tool5_can[multi]_0,tool5_can[multi]. What platform(s) are your research software projects deployed on? [Compute Canada HPC], What platform(s) are your research software projects deployed on? [Compute Canada HPC],Compute Canada HPC
42,tool5_can[multi]_1,tool5_can[multi]. What platform(s) are your research software projects deployed on? [University computer centre], What platform(s) are your research software projects deployed on? [University computer centre],University computer centre
43,tool5_can[multi]_2,tool5_can[multi]. What platform(s) are your research software projects deployed on? [Other HPC], What platform(s) are your research software projects deployed on? [Other HPC],Other HPC
44,tool5_can[multi]_3,tool5_can[multi]. What platform(s) are your research software projects deployed on? [Cloud service], What platform(s) are your research software projects deployed on? [Cloud service],Cloud service
