,Year_0,row_id,conf2can_0
111,2017,2017_111,European Geoscience Union (EGU)
112,2017,2017_111,American Geophysical Union (AGU)
113,2017,2017_111,and other workshops and conferences
114,2017,2017_112,ASLO
115,2017,2017_112,EGU
116,2017,2017_112,AGU
117,2017,2017_112,AMEMR
118,2017,2017_112,AEMON
120,2017,2017_114,LREC
121,2017,2017_114,GSCL
122,2017,2017_114,DhD
123,2017,2017_115,Tagung experimentell arbeitender PsychologInnen (TEAP)
124,2017,2017_115,European Society for Cognitive Psychology (ESCoP)
125,2017,2017_115,Computers in Psychology (SCiP)
126,2017,2017_115,Psychonomics
127,2017,2017_116,Dsbs
128,2017,2017_116,geohab
129,2017,2017_116,icpr
130,2017,2017_116,bvm
132,2017,2017_118,Language Resources and Evaluation (LREC)
133,2017,2017_118,Jahrestagung der Deutschen Gesellschaft für Sprachwissenschaft (DGfS)
135,2017,2017_118,Forschungsdaten in den Geisteswissenschaften (FORGE)
137,2017,2017_118,Digital Humanities im deutschsprachigen Raum (DHd)
143,2017,2017_121,EuroSciPy
144,2017,2017_121,EuroPython
148,2017,2017_124,Project specific conferences
155,2017,2017_130,new Horizons in membrane transport
156,2017,2017_131,ESCAPE
157,2017,2017_131,AICHE Annual Meeting
158,2017,2017_131,FOCAPD
159,2017,2017_132,GCB
160,2017,2017_132,ECCB
162,2017,2017_134,ICMMES
163,2017,2017_134,NAFEMS
164,2017,2017_134,ECCOMAS
165,2017,2017_134,PARCOMP
166,2017,2017_134,PARENG
167,2017,2017_134,WCCM
168,2017,2017_135,ISMB
169,2017,2017_135,ECCB
170,2017,2017_135,GCB
171,2017,2017_135,ASMS
172,2017,2017_136,Verschiedene
173,2017,2017_137,Psychometric Society meeting (IMPS)
174,2017,2017_137,Fachgruppentagung für Methoden und Evaluation (FGME)
176,2017,2017_139,UseR
177,2017,2017_139,DagStat
180,2017,2017_141,DPG Frühjarstagung
181,2017,2017_141,Third Infinity
182,2017,2017_142,SuperComputing
183,2017,2017_142,NVIDIA GTC
184,2017,2017_142,EuroPar
185,2017,2017_142,ParCo
186,2017,2017_142,PMBS
188,2017,2017_142,PLC
189,2017,2017_143,European Symposium of Computer Aided Process Engineering (ESCAPE)
190,2017,2017_143,ICHEAP
202,2017,2017_154,Mpi cbg post grad school image processing course 
204,2017,2017_156,Bibliothekartag
205,2017,2017_156,BibCast
209,2017,2017_160,Mensch und Computer (MuC)
211,2017,2017_162,Tagung der Neurowissenschaftlichen Gesellschaftlich (NGW)
220,2017,2017_171,Pflanzenschutztagung
222,2017,2017_173,IEEE ISBI
223,2017,2017_173,PARTICLES
224,2017,2017_173,SCOPES
225,2017,2017_173,ICSB
226,2017,2017_173,ACCV
227,2017,2017_173,ICIP
232,2017,2017_178,DH
233,2017,2017_178,CHDH
236,2017,2017_180,shelf
238,2017,2017_180, EGU General Assembly (EGU)
243,2017,2017_183,INTERNATIONAL CONFERENCE ON SCIENTOMETRICS & INFORMETRICS (ISSI)
246,2017,2017_186,Ocean Sciences Meeting
247,2017,2017_186,EGU General Assembly
257,2017,2017_195,EGU Assembly
260,2017,2017_198,Meeting der LIGO/Virgo Kollaborationen (LVC Meeting)
263,2017,2017_201,EGU
265,2017,2017_203,AGu; EGU
272,2017,2017_210,DV Treffen der MPIs
274,2017,2017_212, 
276,2017,2017_213,ISC WOIV
277,2017,2017_213,GTC Europe
280,2017,2017_216,Deutsche Physikalische Gesellschaft (Kongress)
281,2017,2017_216,Themenbezogene Workshops unseres Forschungsgebietes
283,2017,2017_218,LIGO Scientific Collaboration Meetings
284,2017,2017_219,IGS Workshop
285,2017,2017_219,GRUAN ICM
288,2017,2017_222,TPDL
289,2017,2017_222,LIBER
293,2017,2017_225,GPU Technology Conference (GTC)
299,2017,2017_225,Perspectives of GPU computing in Science
302,2017,2017_228,GCB
306,2017,2017_232,NIPS
307,2017,2017_232,SfN
308,2017,2017_232,Connectomics
313,2017,2017_237,EMIW
314,2017,2017_237,SEG
315,2017,2017_237,DGG
316,2017,2017_237,EMTF
321,2017,2017_242,ISPRS Congress
322,2017,2017_242,EuroVis
327,2017,2017_247,IVS GM
328,2017,2017_247,EVGA
332,2017,2017_251,European Symposium on Algorithms (ESA)
333,2017,2017_252,EVGA
334,2017,2017_252,IUGG
335,2017,2017_252,ADASS
336,2017,2017_252,AG
338,2017,2017_254,SIB Conference in der Schweiz
340,2017,2017_256,ISCB
341,2017,2017_257,FOM
342,2017,2017_258,SMLMS
348,2017,2017_264,LISA VIII
350,2017,2017_264,Community Workshops
351,2017,2017_264,RAVE survey meetings
352,2017,2017_264,IVOA meetings
353,2017,2017_264,German Astronomy Society
356,2017,2017_266,ECMTB
357,2017,2017_266,SBMC
358,2017,2017_267,DPG
359,2017,2017_268,hauseigene Symposien
360,2017,2017_268,zahlreiche Invited Talks
361,2017,2017_268,European Wolfram Technology Conference (EWTC)
362,2017,2017_268,Data Natives
364,2017,2017_270,CoolStars
366,2017,2017_272,EGU
368,2017,2017_273,Viele
369,2017,2017_274,Biophysical Society Annual Meeting (BPS)
370,2017,2017_274,European Biophysical Society Annual Meeting (EBSA)
371,2017,2017_274,European Bioenergetics Conference (EBEC)
380,2017,2017_281,EUMETSAT  Conference
381,2017,2017_281,Living Planet Symposium
382,2017,2017_281,mehrere ESA Workshops
386,2017,2017_284,SLAS
394,2017,2017_291, Vision for European Astronomy and Astrophysics at the Antarctic station Concordia/Dome C in the next decade (ARENA)
395,2017,2017_291,Astronomische Gesellschaft (AG)
396,2017,2017_291,European Week of Astronomy and Space Science (EWASS)
397,2017,2017_291,Heterogeneous Telescope Networks (HTN)
407,2017,2017_298,IEEE Conference on Social Computing
408,2017,2017_299,MuC
409,2017,2017_300,Banff Center for Research Tagung
413,2017,2017_304,GFÖ
414,2017,2017_304,DINI
415,2017,2017_305,Philtag
416,2017,2017_305,DHD
420,2017,2017_309,PyData
421,2017,2017_309,Python Conference (PyCon)
422,2017,2017_310,German Conference on Bioinformatics (GCB)
430,2017,2017_314,Nijmegen
431,2017,2017_315,IMDIS
432,2017,2017_315,EGU
433,2017,2017_315,EMODnet Jamboree
434,2017,2017_316,Bildverarbeitung für die Medizin (BVM)
