,Year_0,row_id,conf2can_0
1,2018,2018_1,IPDPS
2,2018,2018_1,SIAM CSE
3,2018,2018_1,SIAM LA
5,2018,2018_3,CASPER workshop
6,2018,2018_4,IEEE eScience
7,2018,2018_4,IEEE BDCloud
10,2018,2018_7,LAMLOD
17,2018,2018_8,SciPy
19,2018,2018_10,Probabilistic modelling in genomics
23,2018,2018_14,Science Coding Conference
24,2018,2018_14,eResearch NZ
27,2018,2018_17,ISCB
28,2018,2018_18,Python in Astronomy
29,2018,2018_18,Astronomical Society of Australia Annual Scientific Meeting
32,2018,2018_21,eResearch Australasia
34,2018,2018_23,AGU Fall meeting EGU and lots of others
37,2018,2018_25,GeneMappers
38,2018,2018_25,Genomics of Rare Disease
39,2018,2018_25,Lorne Genome
42,2018,2018_28,UseR
55,2018,2018_41,Interactive Theorem Proving
56,2018,2018_41,Principles of Programming Languages
57,2018,2018_42,eResearch Australasia
60,2018,2018_45,eResearch Australasia
65,2018,2018_50,DICTA
66,2018,2018_50,ISMRM
67,2018,2018_51,MODSIM
68,2018,2018_52,eResearch New Zealand; Research Bazaar (Melbourne
69,2018,2018_52,Dunedin); Queenstown Molecular Biology Meeting; Molecular Society of Japan (Kobe
70,2018,2018_52,Yokohama); Next Generation Sequencing Asia (Singapore)
71,2018,2018_53,Galaxy Community Conference
78,2018,2018_60,TDWG
86,2018,2018_66,Several specific workshops at research labs in the Northeast of the US
87,2018,2018_67,AquaConsoil
88,2018,2018_67,Ises/ISEE
96,2018,2018_73,ModSim
101,2018,2018_76,MODSIM
102,2018,2018_76,CSS
104,2018,2018_76,eResearch Australasia
105,2018,2018_77,Bioinformatics Open Source Conference (BOSC)
109,2018,2018_81,ARRB Conference
112,2018,2018_83,Bayes on the Beach
114,2018,2018_83,other ecology/statistics conferences
120,2018,2018_89,Iscb student meeting
125,2018,2018_93,satRday workshops
126,2018,2018_93,discipline specific conferences
129,2018,2018_96,Biophysics
131,2018,2018_97,American Phytopathological Society
132,2018,2018_97,Fungal Genetics Conference
135,2018,2018_100,rse wssspe
136,2018,2018_101,Galaxy Community Conference (among others)
138,2018,2018_103,ABACBS
139,2018,2018_104,IFD&TC
141,2018,2018_105,usually on request. Rarely attend conferences due to zero dispensible research funds
148,2018,2018_112,REDCapCon https://projectredcap.org/about/redcapcon/
155,2018,2018_119,AGU
156,2018,2018_119,ESA
157,2018,2018_119,SSDBM
158,2018,2018_119,Workflows
159,2018,2018_119,RDA
160,2018,2018_119,ESIP
161,2018,2018_119,and dozens of others
164,2018,2018_122,eResearch Australasia
166,2018,2018_124,AACR
167,2018,2018_124,EACR
168,2018,2018_124,Bioconductor meeting
174,2018,2018_128,SIAM CSE
178,2018,2018_131,useR!
179,2018,2018_131,EGU
181,2018,2018_131,DASPOS
185,2018,2018_135,Various parasitology conferences (software is genomics database for eukaryotic parasites)
197,2018,2018_146,Research Data Alliance
198,2018,2018_147,CBC Behaviour Change
206,2018,2018_155,ADASS
207,2018,2018_155,IVOA
209,2018,2018_156,Digital humanities conferences
218,2018,2018_165,NEUBIAS
221,2018,2018_167,Population Genetics Group
223,2018,2018_169,RSE
224,2018,2018_170,Specialized astronomy conferences (always in the context of attached research)
226,2018,2018_171,Society for experimental biology
229,2018,2018_174,Conferences specific to project (NAME users workshop
230,2018,2018_174,JASMIN conference)
238,2018,2018_182,Fusion Energy Conference
239,2018,2018_182,Symposium on Fusion Technology
241,2018,2018_183,ECPD
242,2018,2018_183,HTPD
245,2018,2018_186,RSE
247,2018,2018_186, American Meteorological Society
248,2018,2018_187,HSS conference
249,2018,2018_187,RSE conference
250,2018,2018_187,digital HPS meetings
251,2018,2018_188,Capocaccia
252,2018,2018_188,HBP summit
253,2018,2018_188,HBP code jams
258,2018,2018_192,IVOA
259,2018,2018_192,ADASS
260,2018,2018_192,ASTERICS
266,2018,2018_198,GPU Technology Conference
268,2018,2018_199,UKRSE
269,2018,2018_200,multiple
270,2018,2018_201,AMIA / MIE
271,2018,2018_202,CUG
272,2018,2018_202,PARCO
274,2018,2018_204,Digital Humanities
284,2018,2018_214,PCaPAC
285,2018,2018_214,EPICS
286,2018,2018_214,HTPD
288,2018,2018_216,CHEP and ICHEP
290,2018,2018_218,American Medical Informatics Association meetings
295,2018,2018_222,SIMS Europe
299,2018,2018_222,SIMS Workshop (and others over the years)
303,2018,2018_226,RSE
304,2018,2018_226,Supercomputing
307,2018,2018_226,ARCHER Champions
309,2018,2018_228,Deutsche Orientalisten Tag
310,2018,2018_229,SC workshops
313,2018,2018_232,JOBIM ETEE
314,2018,2018_233,American Meteorological Society
315,2018,2018_234,Annual Symposium for Lattice Field Theory
317,2018,2018_236,EASC
318,2018,2018_236,APS
319,2018,2018_236,DPG
320,2018,2018_236,RSE
321,2018,2018_236,CMMP
324,2018,2018_236,UKCP Scientific meeting
325,2018,2018_236,MCC Scientific Meeting
326,2018,2018_236,TMCS
328,2018,2018_236,annual training workshops
335,2018,2018_243,eScience
336,2018,2018_243,CIPA
337,2018,2018_244,Rse conf
338,2018,2018_244,pydata
339,2018,2018_244,euroscipy
340,2018,2018_244,nobugs
341,2018,2018_244,ccpem symposium.
346,2018,2018_249,MIUA
351,2018,2018_254,Intelligent Systems In Molecular Biology (ISMB)
354,2018,2018_257,SMARTER
361,2018,2018_264,API Strategy and Practice
362,2018,2018_264,BioIT World
363,2018,2018_264,Biophysical Society
367,2018,2018_268,EGU
368,2018,2018_268,IEEE eScience
369,2018,2018_268,WSSSPE
370,2018,2018_268,SC
371,2018,2018_269,Several genomics conferences (not in my current employment)
373,2018,2018_271,European Space Weather Week
380,2018,2018_276,RSE
381,2018,2018_276,Several particle acclerator converences
390,2018,2018_285,UK Cancer Genetic Group meetings
391,2018,2018_286,biannual industry conference
392,2018,2018_287,ParCo
393,2018,2018_288,Mainly ADASS.
394,2018,2018_289,IWBDA
395,2018,2018_290,NZ Geothermal Workshop
396,2018,2018_291,IGARSS
399,2018,2018_293,Human Brain Project Workshops / Conferences
403,2018,2018_297,SuperComputing
405,2018,2018_298,HTCondor
408,2018,2018_301,WCCM
411,2018,2018_304,Europython
414,2018,2018_306,EPS Plasma Physics
415,2018,2018_307,RSE
416,2018,2018_307,ISNGI
417,2018,2018_308,European Geosciences Union
418,2018,2018_308,British Society for Geomorphology
422,2018,2018_312,Biophysics
425,2018,2018_314,Wonders of star formation Edinburgh
426,2018,2018_314,Star Formation mapper Grenoble
433,2018,2018_321,Supercomputing
434,2018,2018_321,eScience conference
442,2018,2018_329,ESCO
443,2018,2018_329,Fenics
444,2018,2018_329,CMWR
445,2018,2018_330,GGF/OGF
446,2018,2018_330,eScience
447,2018,2018_331,eScience
448,2018,2018_331,CCGrid
466,2018,2018_349,BSPS
478,2018,2018_361,Clinician Coders Workshops
483,2018,2018_366,domain conferences
487,2018,2018_369,New Zealand Freshwater Sciences Society
488,2018,2018_369,New Zealand Marine Sciences Society
496,2018,2018_376,cimic
497,2018,2018_377,eScience
499,2018,2018_377,World Association of Public Opinion Research
500,2018,2018_378,ICSB
501,2018,2018_378,COBRA
502,2018,2018_378,ISGSB
509,2018,2018_385,COMPARE general meeting
511,2018,2018_387,private workshop
515,2018,2018_391,EGU
517,2018,2018_392,Firedrake Conference
523,2018,2018_398,SUMO User Confererence
524,2018,2018_398,SIMUL
527,2018,2018_400,Primate Neurobiology
529,2018,2018_401,NCAR workhops
530,2018,2018_401,ECMWF workshops
531,2018,2018_401,ESIWACE workshops
535,2018,2018_404,LREC
536,2018,2018_404,DHd
537,2018,2018_405,MICCAI
545,2018,2018_413,EuroPython
554,2018,2018_421,Edirom Summer School (ESS)
560,2018,2018_427,EGU
561,2018,2018_427,DAMES
566,2018,2018_432,Kleinheubacher Tagung
567,2018,2018_433,RSE
569,2018,2018_433,EuroSciPy
573,2018,2018_436,European Union General Assembly (EGU)
574,2018,2018_436,European Planetary Science Congress (EPSC)
578,2018,2018_440,Scala
579,2018,2018_440,APS meetings
580,2018,2018_441,GIL
581,2018,2018_441,DPPN
606,2018,2018_457,u.a.
607,2018,2018_458,DHd
609,2018,2018_458,Graphentechnologien
610,2018,2018_458,EVA Berlin
611,2018,2018_458,SNS Pisa
612,2018,2018_459,Metabolomics
613,2018,2018_459,GCB
614,2018,2018_459,PSSC
615,2018,2018_460,ICEI
616,2018,2018_461,IPAC
628,2018,2018_472,GCB
629,2018,2018_472,Metabolomics
636,2018,2018_478,Sample Environment Workshop
639,2018,2018_480,EPS
640,2018,2018_480,PSI
643,2018,2018_483,EGU
644,2018,2018_484,AG Waldschutz
645,2018,2018_484,AG Fernerkundler
646,2018,2018_484,Pflanzenschutztagung
647,2018,2018_485,EARSEL
648,2018,2018_485,Living Planet Symposium Prag
652,2018,2018_489,Semantic MediaWiki Conference
653,2018,2018_489,OpenSym
659,2018,2018_492,INFORMATIK
661,2018,2018_492,universitätsinterne Weiterbildungen
662,2018,2018_493,CMCN
663,2018,2018_493,WCCM
664,2018,2018_494,ICTMS
672,2018,2018_502,NAFEMS
674,2018,2018_502,DLRK
675,2018,2018_502,EWEA Offshore
676,2018,2018_503,American Society for Cell Biology (ASCB) conference
677,2018,2018_503,ELMI (European Light Microscopy Initiative) meeting
683,2018,2018_505,Semantic Web in Bibliotheken
687,2018,2018_509,Projektkonferenzen
694,2018,2018_516,ADASS
695,2018,2018_516,IVOA Interop
698,2018,2018_519,FSE
699,2018,2018_519,ICSE
701,2018,2018_521,EGU
702,2018,2018_521,AGU
704,2018,2018_521,FOSSGIS
708,2018,2018_523,Kolkata
710,2018,2018_525,OGRS
712,2018,2018_525,AGILE
713,2018,2018_525,ICC
722,2018,2018_534,AEMON
723,2018,2018_534,CWT
725,2018,2018_536,ESREF
726,2018,2018_536,ISTFA
728,2018,2018_537,ICSE
729,2018,2018_537,FSE
730,2018,2018_537,COORDINATION
735,2018,2018_542,ACM Symposium on Applied Perception
736,2018,2018_543,ECOOP
742,2018,2018_549,PyData
744,2018,2018_551,SETAC
748,2018,2018_555,ISBI
749,2018,2018_555,MICCAI
750,2018,2018_555,ICIP
751,2018,2018_555,ICIAP
752,2018,2018_556,ICMMES
753,2018,2018_556,ECCOMAS
754,2018,2018_556,SIAM
755,2018,2018_556,Cyberworlds
758,2018,2018_559,ICMMES
766,2018,2018_567,LIGO/VIRGO Collaboration Meetings
777,2018,2018_572,MaxEnt;ICAM;ISBI
779,2018,2018_574,CARS
780,2018,2018_574,ISTU
795,2018,2018_589,useR!
796,2018,2018_589,Statistical Computing
797,2018,2018_589,CEN ISBS
801,2018,2018_592,CURAC
802,2018,2018_592,Bildverarbeitung für die Medizin (BVM)
803,2018,2018_592,VDI Veranstaltungen
804,2018,2018_592,Wissenschaftstage IFF
807,2018,2018_595,GIL
808,2018,2018_595,ECPA
810,2018,2018_597,uRos
813,2018,2018_600,RStudio Conf
815,2018,2018_602,Various
820,2018,2018_607,SPS IPC DRIVES
821,2018,2018_607,Hannover Messe
822,2018,2018_608,Autres départements
823,2018,2018_609,ISMIR
824,2018,2018_609,ICMC
825,2018,2018_609,SMC
826,2018,2018_609,NIME
827,2018,2018_609,DHd
828,2018,2018_609,AudioMostly
834,2018,2018_613,Ad Hoc
837,2018,2018_613,Information and Communication (ICEIC)
838,2018,2018_614,Bibliothekarstag
839,2018,2018_614,Quellen und Methoden der Geschichtswissenschaft im digitalen Zeitalter: Neue Zugänge für eine etablierte Disziplin? (DIGIMET)
840,2018,2018_614,Historikertag
846,2018,2018_620,SPIE
847,2018,2018_620,OSA
858,2018,2018_630,European Geoscience Union General Assembly
860,2018,2018_632,SKA Engineering meeting
861,2018,2018_632,ICT open (Netherlands)
865,2018,2018_635,ADASS
866,2018,2018_635,ESO/ESA
867,2018,2018_636,ParCo
868,2018,2018_636,EuroPar
869,2018,2018_637,CPPcon
870,2018,2018_637,GTC
