,Year_0,row_id,currentEmp13can
0,2018,2018_657,ENVIRONMENTAL ENGINEERING
1,2018,2018_657,INDUSTRIAL ENGINEERING
2,2018,2018_657,DESIGN AND MANUFACTURING
3,2018,2018_656,BIOMEDICAL ENGINEERING
4,2018,2018_731,FLUID MECHANICS
5,2018,2018_231,INFORMATION TECHNOLOGY
6,2018,2018_657,INFORMATION TECHNOLOGY
7,2018,2018_731,INFORMATION TECHNOLOGY
8,2018,2018_231,ARTIFICIAL INTELLIGENCE
9,2018,2018_657,ARTIFICIAL INTELLIGENCE
10,2018,2018_680,ARTIFICIAL INTELLIGENCE
11,2018,2018_680,APPLIED MATHEMATICS
12,2018,2018_84,STATISTICS AND PROBABILITY
13,2018,2018_231,STATISTICS AND PROBABILITY
14,2018,2018_599,STATISTICS AND PROBABILITY
15,2018,2018_656,STATISTICS AND PROBABILITY
16,2018,2018_657,STATISTICS AND PROBABILITY
17,2018,2018_731,PHYSICS
18,2018,2018_731,THEORETICAL PHYSICS AND CHEMISTRY
19,2018,2018_731,ASTRONOMY AND ASTROPHYSICS
20,2018,2018_752,ASTRONOMY AND ASTROPHYSICS
21,2018,2018_813,ASTRONOMY AND ASTROPHYSICS
22,2018,2018_731,CONDENSED MATTERPHYSICS
23,2018,2018_84,EARTH SCIENCE
24,2018,2018_84,PHYSICAL GEOGRAPHY
25,2018,2018_84,HYDROLOGY
26,2018,2018_84,EVOLUTION AND ECOLOGY
27,2018,2018_599,EVOLUTION AND ECOLOGY
28,2018,2018_84,MICROBIOLOGY
29,2018,2018_656,PSYCHOLOGY
30,2018,2018_827,PSYCHOLOGY
31,2018,2018_599,LIFE SCIENCES RESEARCH RELATED TO HUMAN HEALTH AND DISEASE
32,2018,2018_656,LIFE SCIENCES RESEARCH RELATED TO HUMAN HEALTH AND DISEASE
33,2018,2018_416,OTHER STUDIES IN NATURAL SCIENCES AND ENGINEERING
34,2018,2018_731,OTHER STUDIES IN NATURAL SCIENCES AND ENGINEERING
35,2018,2018_231,SOCIAL SCIENCES AND HUMANITIES
36,2018,2018_601,HEALTH SCIENCES
