,socio1_0,disa1_0
613,United Kingdom,False
614,United Kingdom,False
615,United Kingdom,False
616,United Kingdom,False
617,United Kingdom,False
618,United Kingdom,False
619,United Kingdom,False
620,United Kingdom,False
621,United Kingdom,False
622,United Kingdom,False
623,United Kingdom,False
624,United Kingdom,False
625,United Kingdom,False
626,United Kingdom,False
628,United Kingdom,False
629,United Kingdom,False
630,United Kingdom,False
631,United Kingdom,False
632,United Kingdom,False
633,United Kingdom,False
634,United Kingdom,False
636,United Kingdom,False
637,United Kingdom,False
638,United Kingdom,False
639,United Kingdom,False
640,United Kingdom,False
641,United Kingdom,False
643,United Kingdom,False
644,United Kingdom,False
645,United Kingdom,False
647,United Kingdom,True
648,United Kingdom,False
649,United Kingdom,False
650,United Kingdom,False
651,United Kingdom,False
653,United Kingdom,False
654,United Kingdom,False
655,United Kingdom,False
656,United Kingdom,False
658,United Kingdom,False
659,United Kingdom,False
660,United Kingdom,False
661,United Kingdom,False
662,United Kingdom,False
663,United Kingdom,False
664,United Kingdom,False
665,United Kingdom,False
666,United Kingdom,False
667,United Kingdom,False
668,United Kingdom,False
669,United Kingdom,False
670,United Kingdom,False
671,United Kingdom,False
672,United Kingdom,False
673,United Kingdom,False
674,United Kingdom,False
675,United Kingdom,False
676,United Kingdom,False
677,United Kingdom,False
678,United Kingdom,False
680,United Kingdom,False
681,United Kingdom,False
682,United Kingdom,False
683,United Kingdom,False
684,United Kingdom,False
685,United Kingdom,True
686,United Kingdom,False
689,United Kingdom,False
692,United Kingdom,False
693,United Kingdom,False
695,United Kingdom,False
696,United Kingdom,False
697,United Kingdom,False
698,United Kingdom,False
699,United Kingdom,False
700,United Kingdom,False
701,United Kingdom,False
702,United Kingdom,False
703,United Kingdom,False
704,United Kingdom,False
705,United Kingdom,False
706,United Kingdom,False
707,United Kingdom,False
708,United Kingdom,False
709,United Kingdom,False
710,United Kingdom,False
711,United Kingdom,False
715,United Kingdom,False
716,United Kingdom,False
717,United Kingdom,False
718,United Kingdom,True
719,United Kingdom,False
720,United Kingdom,False
721,United Kingdom,False
722,United Kingdom,False
723,United Kingdom,True
724,United Kingdom,False
726,United Kingdom,False
727,United Kingdom,False
728,United Kingdom,False
729,United Kingdom,False
730,United Kingdom,False
731,United Kingdom,False
732,United Kingdom,True
733,United Kingdom,False
734,United Kingdom,False
735,United Kingdom,False
736,United Kingdom,False
737,United Kingdom,False
738,United Kingdom,False
739,United Kingdom,False
740,United Kingdom,False
741,United Kingdom,False
742,United Kingdom,False
744,United Kingdom,False
746,United Kingdom,False
747,United Kingdom,False
748,United Kingdom,False
750,United Kingdom,False
751,United Kingdom,False
754,United Kingdom,False
756,United Kingdom,False
757,United Kingdom,False
759,United Kingdom,False
760,United Kingdom,False
761,United Kingdom,False
762,United Kingdom,False
763,United Kingdom,False
764,United Kingdom,False
765,United Kingdom,False
766,United Kingdom,False
767,United Kingdom,False
768,United Kingdom,False
769,United Kingdom,False
770,United Kingdom,False
771,United Kingdom,False
772,United Kingdom,True
773,United Kingdom,False
774,United Kingdom,False
775,United Kingdom,False
776,United Kingdom,False
778,United Kingdom,False
780,United Kingdom,False
782,United Kingdom,False
783,United Kingdom,False
784,United Kingdom,False
785,United Kingdom,False
786,United Kingdom,False
787,United Kingdom,False
788,United Kingdom,False
789,United Kingdom,False
790,United Kingdom,False
792,United Kingdom,False
795,United Kingdom,False
796,United Kingdom,False
799,United Kingdom,False
800,United Kingdom,False
803,United Kingdom,False
804,United Kingdom,False
805,United Kingdom,True
807,United Kingdom,True
808,United Kingdom,False
809,United Kingdom,False
810,United Kingdom,False
811,United Kingdom,True
812,United Kingdom,False
814,United Kingdom,False
815,United Kingdom,False
816,United Kingdom,False
817,United Kingdom,False
818,United Kingdom,False
819,United Kingdom,False
820,United Kingdom,False
821,United Kingdom,False
822,United Kingdom,False
823,United Kingdom,False
824,United Kingdom,False
825,United Kingdom,False
826,United Kingdom,False
827,United Kingdom,False
829,United Kingdom,False
830,United Kingdom,False
832,United Kingdom,True
834,United Kingdom,False
835,United Kingdom,False
837,United Kingdom,False
838,United Kingdom,False
839,United Kingdom,True
840,United Kingdom,False
841,United Kingdom,False
842,United Kingdom,False
844,United Kingdom,False
845,United Kingdom,False
846,United Kingdom,False
847,United Kingdom,False
848,United Kingdom,False
