,New_name,Old_name,Question,Option
0,socio1_0,socio1._.In which country do you work?,_.In which country do you work?,
1,socio5quk[SQ001]_0,"socio5quk[SQ001]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: English / Welsh / Scottish / Northern Irish / British]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: English / Welsh / Scottish / Northern Irish / British]",White: English / Welsh / Scottish / Northern Irish / British
2,socio5quk[SQ002]_0,"socio5quk[SQ002]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: Irish]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: Irish]",White: Irish
3,socio5quk[SQ003]_0,"socio5quk[SQ003]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: Gypsy or Irish Traveller]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: Gypsy or Irish Traveller]",White: Gypsy or Irish Traveller
4,socio5quk[SQ004]_0,"socio5quk[SQ004]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: Any other White background]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White: Any other White background]",White: Any other White background
5,socio5quk[SQ005]_0,"socio5quk[SQ005]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: White and Black Caribbean]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: White and Black Caribbean]",Mixed / Multiple Ethnic groups: White and Black Caribbean
6,socio5quk[SQ006]_0,"socio5quk[SQ006]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: White and Black African]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: White and Black African]",Mixed / Multiple Ethnic groups: White and Black African
7,socio5quk[SQ007]_0,"socio5quk[SQ007]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: White and Asian]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: White and Asian]",Mixed / Multiple Ethnic groups: White and Asian
8,socio5quk[SQ008]_0,"socio5quk[SQ008]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,]","Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,"
9,socio5quk[SQ009]_0,"socio5quk[SQ009]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Indian]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Indian]",Asian / Asian British: Indian
10,socio5quk[SQ010]_0,"socio5quk[SQ010]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Pakistani]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Pakistani]",Asian / Asian British: Pakistani
11,socio5quk[SQ011]_0,"socio5quk[SQ011]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Bangladeshi]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Bangladeshi]",Asian / Asian British: Bangladeshi
12,socio5quk[SQ012]_0,"socio5quk[SQ012]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Chinese]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Chinese]",Asian / Asian British: Chinese
13,socio5quk[SQ013]_0,"socio5quk[SQ013]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Any other Asian background]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Asian / Asian British: Any other Asian background]",Asian / Asian British: Any other Asian background
14,socio5quk[SQ014]_0,"socio5quk[SQ014]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black / African / Caribbean / Black British:  African]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black / African / Caribbean / Black British:  African]",Black / African / Caribbean / Black British:  African
15,socio5quk[SQ015]_0,"socio5quk[SQ015]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black / African / Caribbean / Black British: Caribbean]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black / African / Caribbean / Black British: Caribbean]",Black / African / Caribbean / Black British: Caribbean
16,socio5quk[SQ016]_0,"socio5quk[SQ016]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black / African / Caribbean / Black British: Any other Black / African / Caribbean background]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black / African / Caribbean / Black British: Any other Black / African / Caribbean background]",Black / African / Caribbean / Black British: Any other Black / African / Caribbean background
17,socio5quk[SQ017]_0,"socio5quk[SQ017]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Other Ethnic group: Arab]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Other Ethnic group: Arab]",Other Ethnic group: Arab
18,socio5quk[SQ018]_0,"socio5quk[SQ018]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Other Ethnic group: Any other ethnic group]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Other Ethnic group: Any other ethnic group]",Other Ethnic group: Any other ethnic group
19,socio5quk[SQ019]_0,"socio5quk[SQ019]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Do not wish to declare]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Do not wish to declare]",Do not wish to declare
20,socio5quk[other]_0,"socio5quk[other]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Other]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Other]",Other
21,socio5qus[SQ001]_0,"socio5qus[SQ001]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [White]",White
22,socio5qus[SQ002]_0,"socio5qus[SQ002]._.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black or African American]","_.How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. [Black or African American]",Black or African American
