,Year_0,row_id,Ranking,Choice
0,2018,2018_0,0,Desire to work in a research environment
1,2018,2018_1,0,Desire to advance research
2,2018,2018_2,0,Freedom to choose own working practices
3,2018,2018_3,0,Desire to work in a research environment
4,2018,2018_4,0,Opportunity to develop software
5,2018,2018_5,0,Desire to advance research
6,2018,2018_6,0,I want to learn new skills
7,2018,2018_7,0,Desire to work in a research environment
8,2018,2018_8,0,Freedom to choose own working practices
9,2018,2018_9,0,Opportunity to develop software
10,2018,2018_10,0,Desire to advance research
11,2018,2018_11,0,Desire to advance research
12,2018,2018_12,0,Freedom to choose own working practices
13,2018,2018_13,0,Desire to work in a research environment
14,2018,2018_14,0,Opportunity to develop software
15,2018,2018_15,0,Desire to work in a research environment
16,2018,2018_16,0,Desire to work in a research environment
17,2018,2018_17,0,Flexible working hours
18,2018,2018_18,0,Desire to work in a research environment
20,2018,2018_20,0,Flexible working hours
21,2018,2018_21,0,Freedom to choose own working practices
22,2018,2018_22,0,Desire to work in a research environment
23,2018,2018_23,0,Ability to work across disciplines
24,2018,2018_24,0,Freedom to choose own working practices
25,2018,2018_25,0,Desire to advance research
26,2018,2018_26,0,Desire to advance research
27,2018,2018_27,0,Opportunity to develop software
28,2018,2018_28,0,Desire to advance research
29,2018,2018_29,0,Desire to advance research
30,2018,2018_30,0,Freedom to choose own working practices
31,2018,2018_31,0,Ability to work across disciplines
32,2018,2018_32,0,Freedom to choose own working practices
33,2018,2018_33,0,Desire to advance research
34,2018,2018_34,0,Desire to advance research
35,2018,2018_35,0,Freedom to choose own working practices
36,2018,2018_36,0,Desire to work in a research environment
37,2018,2018_37,0,Desire to work in a research environment
38,2018,2018_38,0,Freedom to choose own working practices
39,2018,2018_39,0,Desire to work in a research environment
40,2018,2018_40,0,Desire to work in a research environment
41,2018,2018_41,0,Desire to advance research
42,2018,2018_42,0,Freedom to choose own working practices
43,2018,2018_43,0,Desire to advance research
44,2018,2018_44,0,Desire to work in a research environment
45,2018,2018_45,0,Ability to work across disciplines
46,2018,2018_46,0,Opportunity for career advancement
47,2018,2018_47,0,Opportunity to develop software
48,2018,2018_48,0,I want to learn new skills
49,2018,2018_49,0,Desire to work in a research environment
50,2018,2018_50,0,Desire to work in a research environment
51,2018,2018_51,0,Desire to work in a research environment
52,2018,2018_52,0,I want to learn new skills
53,2018,2018_53,0,Desire to work in a research environment
54,2018,2018_54,0,Desire to work in a research environment
55,2018,2018_55,0,Desire to work in a research environment
56,2018,2018_56,0,Desire to advance research
57,2018,2018_57,0,The salary
58,2018,2018_58,0,Desire to work in a research environment
59,2018,2018_59,0,Opportunity to develop software
60,2018,2018_60,0,Desire to work in a research environment
61,2018,2018_61,0,Freedom to choose own working practices
62,2018,2018_62,0,Opportunity for career advancement
63,2018,2018_63,0,The salary
64,2018,2018_64,0,Desire to advance research
65,2018,2018_65,0,Opportunity for career advancement
66,2018,2018_66,0,Ability to work across disciplines
67,2018,2018_67,0,I want to learn new skills
68,2018,2018_68,0,Flexible working hours
69,2018,2018_69,0,Flexible working hours
70,2018,2018_70,0,Desire to work in a research environment
71,2018,2018_71,0,Desire to advance research
72,2018,2018_72,0,Desire to work in a research environment
73,2018,2018_73,0,Desire to advance research
74,2018,2018_74,0,Freedom to choose own working practices
75,2018,2018_75,0,Desire to work in a research environment
76,2018,2018_76,0,Desire to work in a research environment
77,2018,2018_77,0,Desire to advance research
78,2018,2018_78,0,Opportunity to develop software
79,2018,2018_79,0,Freedom to choose own working practices
80,2018,2018_80,0,Desire to work in a research environment
81,2018,2018_81,0,Flexible working hours
82,2018,2018_82,0,Desire to advance research
83,2018,2018_83,0,Freedom to choose own working practices
85,2018,2018_85,0,I want to learn new skills
86,2018,2018_86,0,Desire to work in a research environment
87,2018,2018_87,0,Opportunity for career advancement
88,2018,2018_88,0,Freedom to choose own working practices
89,2018,2018_89,0,Desire to advance research
90,2018,2018_90,0,I want to learn new skills
92,2018,2018_92,0,Freedom to choose own working practices
93,2018,2018_93,0,Desire to work in a research environment
94,2018,2018_94,0,Desire to work in a research environment
95,2018,2018_95,0,Freedom to choose own working practices
96,2018,2018_96,0,Desire to advance research
97,2018,2018_97,0,Opportunity to develop software
98,2018,2018_98,0,Freedom to choose own working practices
99,2018,2018_99,0,Freedom to choose own working practices
100,2018,2018_100,0,Freedom to choose own working practices
101,2018,2018_101,0,Opportunity for career advancement
102,2018,2018_102,0,Desire to work in a research environment
103,2018,2018_103,0,Desire to work in a research environment
104,2018,2018_104,0,Opportunity to develop software
105,2018,2018_105,0,Desire to work in a research environment
106,2018,2018_106,0,Flexible working hours
107,2018,2018_107,0,Desire to advance research
108,2018,2018_108,0,Desire to work in a research environment
109,2018,2018_109,0,Opportunity for career advancement
110,2018,2018_110,0,Desire to work in a research environment
111,2018,2018_111,0,I want to learn new skills
112,2018,2018_112,0,I want to learn new skills
113,2018,2018_113,0,Desire to advance research
114,2018,2018_114,0,Desire to work in a research environment
115,2018,2018_115,0,Opportunity to develop software
116,2018,2018_116,0,Freedom to choose own working practices
117,2018,2018_117,0,The salary
118,2018,2018_118,0,Desire to work in a research environment
119,2018,2018_119,0,Opportunity to develop software
120,2018,2018_120,0,The salary
121,2018,2018_121,0,Opportunity to develop software
122,2018,2018_122,0,I want to learn new skills
123,2018,2018_123,0,I want to learn new skills
125,2018,2018_125,0,Opportunity to develop software
126,2018,2018_126,0,Freedom to choose own working practices
127,2018,2018_127,0,Opportunity to develop software
128,2018,2018_128,0,Opportunity for career advancement
129,2018,2018_129,0,Opportunity to develop software
130,2018,2018_130,0,Ability to work across disciplines
131,2018,2018_131,0,Freedom to choose own working practices
132,2018,2018_132,0,I want to learn new skills
133,2018,2018_133,0,Desire to work in a research environment
134,2018,2018_134,0,Desire to work in a research environment
135,2018,2018_135,0,Freedom to choose own working practices
136,2018,2018_136,0,Desire to work in a research environment
137,2018,2018_137,0,Opportunity for career advancement
138,2018,2018_138,0,Desire to work in a research environment
139,2018,2018_139,0,Desire to work in a research environment
140,2018,2018_140,0,Opportunity to develop software
141,2018,2018_141,0,The salary
142,2018,2018_142,0,Desire to advance research
143,2018,2018_143,0,Desire to work in a research environment
144,2018,2018_144,0,Opportunity to develop software
145,2018,2018_145,0,Desire to advance research
146,2018,2018_146,0,Freedom to choose own working practices
147,2018,2018_147,0,I want to learn new skills
148,2018,2018_148,0,Desire to advance research
149,2018,2018_149,0,Ability to work across disciplines
150,2018,2018_150,0,Freedom to choose own working practices
151,2018,2018_151,0,I want to learn new skills
152,2018,2018_152,0,Desire to advance research
153,2018,2018_153,0,Desire to work in a research environment
154,2018,2018_154,0,Desire to advance research
155,2018,2018_155,0,Opportunity to develop software
156,2018,2018_156,0,Freedom to choose own working practices
158,2018,2018_158,0,Freedom to choose own working practices
159,2018,2018_159,0,Desire to work in a research environment
160,2018,2018_160,0,Desire to advance research
161,2018,2018_161,0,Freedom to choose own working practices
162,2018,2018_162,0,Desire to advance research
163,2018,2018_163,0,Desire to work in a research environment
