,startdate_0,socio1_0,rse1_0,edu1_0,edu2_0,edu4_0,rse4de_0,rse3_0,soft2can_0,soft1can_0,time1can_0,time2can_0,time3can_0,time4can_0,time5can_0,timeLike6zaf_0,timeLike7zaf_0,timeLike8zaf_0,timeLike9zaf_0,timeLike10zaf_0,currentEmp1_0,currentEmp12_0,currentEmp10_0,currentEmp11_0,currentEmp13_0,currentEmp13_1,currentEmp13_2,currentEmp13_3,currentEmp13_4,currentEmp13_5,currentEmp13_6,currentEmp13_7,currentEmp13_8,currentEmp13_9,currentEmp13_10,currentEmp13_11,currentEmp13_12,currentEmp13_13,currentEmp13_14,currentEmp13_15,currentEmp13_16,currentEmp13_17,currentEmp13_18,currentEmp13_19,currentEmp13_20,currentEmp13_21,currentEmp13_22,currentEmp13_23,currentEmp13_24,currentEmp13_25,currentEmp13_26,currentEmp13_27,currentEmp13_28,currentEmp13_29,currentEmp13_30,currentEmp13_31,currentEmp13_32,currentEmp13_33,currentEmp13_34,currentEmp13_35,currentEmp13_36,currentEmp13_37,currentEmp13_38,currentEmp13_39,currentEmp13_40,currentEmp13_41,currentEmp13_42,currentEmp13_43,currentEmp13_44,currentEmp13_45,currentEmp13_46,currentEmp13_47,currentEmp13_48,currentEmp13_49,currentEmp13_50,currentEmp13_51,currentEmp13_52,currentEmp13_53,currentEmp13_54,currentEmp13_55,currentEmp13_56,currentEmp13_57,currentEmp13_58,currentEmp13_59,currentEmp13_60,currentEmp13_61,currentEmp13_62,currentEmp13_63,currentEmp13_64,currentEmp13can_0,currentEmp13can_1,currentEmp13can_2,currentEmp13can_3,currentEmp13can_4,currentEmp13can_5,currentEmp13can_6,currentEmp13can_7,currentEmp13can_8,currentEmp13can_9,currentEmp13can_10,currentEmp13can_11,currentEmp13can_12,currentEmp13can_13,currentEmp13can_14,currentEmp13can_15,currentEmp13can_16,currentEmp13can_17,currentEmp13can_18,currentEmp13can_19,currentEmp13can_20,currentEmp13can_21,currentEmp13can_22,currentEmp13can_23,currentEmp13can_24,currentEmp13can_25,currentEmp13can_26,currentEmp13can_27,currentEmp13can_28,currentEmp13can_29,currentEmp13can_30,currentEmp13can_31,currentEmp13can_32,currentEmp13can_33,currentEmp13can_34,currentEmp13can_35,currentEmp13can_36,currentEmp13can_37,currentEmp13can_38,currentEmp13can_39,currentEmp13can_40,currentEmp13can_41,currentEmp13can_42,currentEmp13can_43,currentEmp13can_44,currentEmp13can_45,currentEmp13can_46,currentEmp13can_47,currentEmp13can_48,currentEmp13can_49,currentEmp13can_50,currentEmp13can_51,currentEmp13can_52,currentEmp13can_53,currentEmp13can_54,currentEmp13aus_0,currentEmp13aus_1,currentEmp13aus_2,currentEmp13aus_3,currentEmp13aus_4,currentEmp13aus_5,currentEmp13aus_6,currentEmp13aus_7,currentEmp13aus_8,currentEmp13aus_9,currentEmp13aus_10,currentEmp13aus_11,currentEmp13aus_12,currentEmp13aus_13,currentEmp13aus_14,currentEmp13aus_15,currentEmp13aus_16,currentEmp13aus_17,currentEmp13aus_18,currentEmp13aus_19,currentEmp13aus_20,currentEmp13aus_21,prevEmp1_0,prevEmp2_0,prevEmp2_1,prevEmp2_2,prevEmp2_3,prevEmp2_4,currentWork1_0,currentWork2_0,paper2mod_0,conf1can_0,conf2can_0,proj1can_0,proj2can_0,proj7can_0,proj8can_0,stability1_0,stability2_0,proj4can_0,proj4can_1,proj4can_2,proj4can_3,proj5can_0,open1can_0,open2de_0,open3can_0,open3de_0,open1de_0,proj5zaf_0,proj5zaf_1,proj5zaf_2,proj5zaf_3,proj5zaf_4,proj6zaf_0,train2_0,train3_0,fund2_0,fund2_1,fund2_2,fund2_3,fund2_4,fund2_5,fund2_6,fund2_7,fund2_8,fund2_9,fund2_10,fund2_11,fund2_12,fund2_13,fund2_14,fund2_15,fund2_16,fund1can_0,satisGen1_0,satisGen2_0,recog1_0,recog2_0,recog3_0,turnOver3_0,turnOver6_0,percEmp1_0,percEmp3_0,progRSE1_0,progRSE2_0,progRSE3_0,progRSE5_0,ukrse1_0,org1can_0,org2can_0,org2can_1,org2can_2,org2can_3,org2can_4,tool2_0,tool4can_0,tool4can_1,tool4can_2,tool4can_3,tool4can_4,tool4can_5,tool4can_6,tool4can_7,tool4can_8,tool4can_9,tool4can_10,tool4can_11,tool4can_12,tool4can_13,tool4can_14,tool4can_15,tool4can_16,tool4can_17,tool4can_18,tool4can_19,tool4can_20,tool4can_21,tool4can_22,tool4can_23,tool4can_24,tool4can_25,tool4can_26,tool4can_27,tool4can_28,tool4can_29,tool4can_30,tool4can_31,tool4can_32,tool4can_33,tool4can_34,tool4can_35,tool5can_0,tool5can_1,tool5can_2,tool5can_3,tool5can_4,tool5can_5,tool5can_6,ukrse3_0,ukrse12de_0,skill2_0,Year_0,row_id
0,03/09/2018 12:28,United Kingdom,True,Masters Degree,Computer Science,,True,5 - Mostly other people,True,16.0,4,1 (None at all),7,2,4,3,1 (None at all),6,2,4,University,Full Time,Permanent -- funded by Institution core funding,,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Desire to work in a research environment,Opportunity for career advancement,Opportunity to develop software,Ability to work across disciplines,Freedom to choose own working practices,Regularly change researcher(s),True,Acknowledged in acknowledgements section,True,3,10.0,2.0,,,1.0,False,False,False,True,False,,7,3,3,Zenodo,True,False,False,True,False,False,"GitHub, GitLab",4.0,"Software Carpentry, local university training, conference workshops",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,,8,7,Strongly Agree,Agree,Neither agree or disagree,2,Disagree,Agree,Strongly Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,,,,,,,,OS X,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,"University, first job",True,"Machine learning, domain expertise, people management",2018,2018_0
1,03/09/2018 12:32,United Kingdom,True,PhD,Mathematics,,False,1,False,5.0,7,9,2,3,3,7,9,3,3,3,University,Full Time,Fixed term -- funded by project funds,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Desire to advance research,I want to learn new skills,Ability to work across disciplines,Desire to work in a research environment,Opportunity for career advancement,Regularly change researcher(s),False,Named as co-author,True,"IPDPS, SIAM CSE, SIAM LA",1.0,3.0,,,1.0,False,False,False,True,False,,10 (All the time),10 (All the time),5,Zenodo,True,False,False,True,True,False,"Github, Bitbucket",0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,7,7,Strongly Agree,Strongly Agree,Neither agree or disagree,5,Disagree,Disagree,Agree,Agree,Agree,Neither agree or disagree,Agree,False,True,True,True,True,True,True,GNU/Linux,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,"workshops, online, university training",True,,2018,2018_1
2,03/09/2018 12:55,United Kingdom,True,PhD,Physics and Astronomy,,False,3,False,5.0,5,2,2,4,6,6,3,2,4,5,University,Full Time,Permanent -- funded by project funds,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Freedom to choose own working practices,Desire to work in a research environment,Flexible working hours,Desire to advance research,Ability to work across disciplines,Regularly change researcher(s),True,Acknowledged in acknowledgements section,False,,2.0,1.0,,,2.0,False,False,False,True,False,,6,6,3,,What is ORCID?,False,False,True,True,False,,10.0,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,6,6,Strongly Agree,Strongly Agree,Neither agree or disagree,4,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,False,True,True,False,False,False,True,OS X,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,True,,2018,2018_2
3,03/09/2018 13:27,Australia,True,AQF 10 - Doctoral Degree,02 Physical Sciences,,False,2,False,5.0,7,3,2,1 (None at all),2,6,6,2,3,3,University,Full Time,Fixed term -- funded by project funds,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,University,Desire to work in a research environment,Flexible working hours,Freedom to choose own working practices,Desire to advance research,Opportunity for career advancement,Same researcher(s),False,Named as co-author,True,CASPER workshop,2.0,3.0,,,1.0,False,False,False,True,False,,9,8,7,"ascl.net, JOSS, Zenodo",True,False,False,True,False,False,github.com,2.0,"CASPER workshop, local training",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,6,7,Agree,Agree,Agree,3,Disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,,,,,,,,OS X,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,"books and online, and from reading other people's code",True,"C++ design patterns, workload management",2018,2018_3
4,03/09/2018 13:34,Australia,True,AQF 10 - Doctoral Degree,08 Information and Computing Sciences,,False,3,True,8.0,7,2,2,1 (None at all),3,9,2,1 (None at all),1 (None at all),1 (None at all),University,Full Time,Fixed term -- funded by project funds,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,University,Opportunity to develop software,Desire to work in a research environment,Flexible working hours,Freedom to choose own working practices,Ability to work across disciplines,"Different researchers, same research group",False,Named as co-author,True,"IEEE eScience, IEEE BDCloud",5.0,1.5,,,1.0,False,False,False,True,False,,8,5,3,Zenodo,True,False,False,True,False,False,GitHub,0.0,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,6,4,Agree,Agree,Disagree,10 (All the time),Disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,True,,,,,,,Windows,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,,,,,,,,Self-taught,True,"management skills, kubernetes, better maths",2018,2018_4
5,03/09/2018 14:25,United Kingdom,True,Undergraduate degree,Electrical & Electronic Engineering,,False,5 - Mostly other people,True,8.0,7,2,3,1 (None at all),4,10 (All my time),3,1 (None at all),1 (None at all),3,University,Full Time,Permanent -- funded by project funds,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Desire to advance research,Flexible working hours,Desire to work in a research environment,Opportunity to develop software,Opportunity for career advancement,Regularly change researcher(s),True,Acknowledged in acknowledgements section,False,,6.0,1.0,,,11.0,False,False,False,True,False,,3,1 (None at all),1 (None at all),,What is ORCID?,False,False,True,False,False,"Gitlab, Bitbucket",3.0,BCTU Research Methods Course.,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,6,6,Strongly Agree,Agree,Neither agree or disagree,4,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Agree,False,True,True,True,True,True,True,Windows,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,,,,,,,,"University, school, own interests.",True,"Testing, using a wider technology base.",2018,2018_5
6,03/09/2018 14:49,Australia,True,AQF 8 - Undergraduate degree,06 Biological Sciences,,False,1,,5.0,2,2,1 (None at all),3,10 (All my time),7,7,1 (None at all),5,5,University,Full Time,Research/Student Assistant,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,University,I want to learn new skills,Opportunity to develop software,Opportunity for career advancement,Desire to work in a research environment,Desire to advance research,"Different researchers, same research group",True,Acknowledged in acknowledgements section,False,,1.0,3.0,,,1.0,False,False,True,True,False,,10 (All the time),10 (All the time),1 (None at all),,True,False,False,True,True,False,,1.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,8,8,Strongly Agree,Strongly Agree,Neither agree or disagree,3,Neither agree or disagree,Agree,Agree,Disagree,Neither agree or disagree,Agree,Strongly Agree,True,,,,,,,GNU/Linux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,Very carefully,True,"Signal processing,Statistics,Mathematics",2018,2018_6
7,03/09/2018 14:50,Australia,True,AQF 10 - Doctoral Degree,19 Studies in Creative Arts and Writing,,False,5 - Mostly other people,True,18.0,6,3,5,2,3,6,7,5,4,2,University,Full Time,"Freelancer, consultant, contractor",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,True,True,True,True,University,Desire to work in a research environment,Ability to work across disciplines,Desire to advance research,Freedom to choose own working practices,Flexible working hours,"Different researchers, same research group",False,Not mentioned at all,True,"LAMLOD, DH2018, GeoCart 2018, Critical Animals 2014 and 2011, Australian History Association Conference 2017, Colonial Formations: Connections and Collisions 2016, Entangled Histories: Australian Historical Association Annual Conference 2017",14.0,1.1,,,1.0,False,False,True,True,False,,10 (All the time),3,4,local library,True,False,False,True,False,False,"Bitbucket, Google Drive",4.0,"3 half day courses at a DH Summer School and occasional internal workshops for staff and postgrads, and recently a guest lecture.",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,5,Neither agree or disagree,Neither agree or disagree,Strongly disagree,9,Neither agree or disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,False,True,True,True,False,True,True,Windows,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,Self taught augmented with a few short courses (1 or 3 days) at the beginning.,True,Higher level architecure/software design; design patterns; small dev team management; how to get institutions to give you a proper job instead of jerking you around.,2018,2018_7
8,03/09/2018 14:55,Australia,True,AQF 10 - Doctoral Degree,06 Biological Sciences,,,4,,10.0,8,2,4,2,2,8,8,2,1 (None at all),1 (None at all),University,Full Time,Fixed term -- funded by Institution core funding,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,University,Freedom to choose own working practices,Opportunity to develop software,Flexible working hours,Desire to work in a research environment,Opportunity for career advancement,Regularly change researcher(s),True,Named as co-author,True,SciPy,10.0,3.0,,,5.0,False,False,False,True,False,,10 (All the time),8,5,Zenodo,True,False,False,True,False,False,,4.0,"Software Carpentry, Local, SciPy Tutorials, ASPP",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018_8
9,03/09/2018 15:16,Germany,True,PhD,Biological Sciences,,False,5 - Mostly other people,True,1.0,7,2,1 (None at all),1 (None at all),3,7,2,1 (None at all),2,2,Max Planck Society,Full Time,Fixed term -- funded by project funds,1.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Planck Society,Opportunity to develop software,Freedom to choose own working practices,Opportunity for career advancement,I want to learn new skills,Desire to work in a research environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018_9
