,socio1_0,socio5
0,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
1,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
2,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
3,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
4,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
5,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
6,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
7,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
8,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
9,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
10,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
11,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
12,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
13,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
14,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
15,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
16,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
17,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
18,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
19,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
20,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
21,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
22,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
23,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
24,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
25,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
26,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
27,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
28,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
29,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
30,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
31,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
32,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
33,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
34,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
35,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
36,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
37,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
38,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
39,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
40,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
41,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
42,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
43,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
44,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
45,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
46,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
47,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
48,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
49,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
50,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
51,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
52,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
53,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
54,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
55,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
56,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
57,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
58,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
59,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
60,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
61,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
62,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
63,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
64,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
65,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
66,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
67,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
68,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
69,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
70,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
71,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
72,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
73,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
74,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
75,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
76,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
77,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
78,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
79,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
80,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
81,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
82,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
83,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
84,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
85,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
86,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
87,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
88,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
89,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
90,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
91,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
92,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
93,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
94,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
95,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
96,United Kingdom,White: Irish
97,United Kingdom,White: Irish
98,United Kingdom,White: Irish
99,United Kingdom,White: Irish
100,United Kingdom,White: Irish
101,United Kingdom,White: Any other White background
102,United Kingdom,White: Any other White background
103,United Kingdom,White: Any other White background
104,United Kingdom,White: Any other White background
105,United Kingdom,White: Any other White background
106,United Kingdom,White: Any other White background
107,United Kingdom,White: Any other White background
108,United Kingdom,White: Any other White background
109,United Kingdom,White: Any other White background
110,United Kingdom,White: Any other White background
111,United Kingdom,White: Any other White background
112,United Kingdom,White: Any other White background
113,United Kingdom,White: Any other White background
114,United Kingdom,White: Any other White background
115,United Kingdom,White: Any other White background
116,United Kingdom,White: Any other White background
117,United Kingdom,White: Any other White background
118,United Kingdom,White: Any other White background
119,United Kingdom,White: Any other White background
120,United Kingdom,White: Any other White background
121,United Kingdom,White: Any other White background
122,United Kingdom,White: Any other White background
123,United Kingdom,White: Any other White background
124,United Kingdom,White: Any other White background
125,United Kingdom,White: Any other White background
126,United Kingdom,White: Any other White background
127,United Kingdom,White: Any other White background
128,United Kingdom,White: Any other White background
129,United Kingdom,White: Any other White background
130,United Kingdom,White: Any other White background
131,United Kingdom,White: Any other White background
132,United Kingdom,White: Any other White background
133,United Kingdom,Mixed / Multiple Ethnic groups: White and Asian
134,United Kingdom,"Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,"
135,United Kingdom,"Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,"
136,United Kingdom,Asian / Asian British: Indian
137,United Kingdom,Asian / Asian British: Indian
138,United Kingdom,Asian / Asian British: Indian
139,United Kingdom,Asian / Asian British: Bangladeshi
140,United Kingdom,Asian / Asian British: Chinese
141,United Kingdom,Asian / Asian British: Chinese
142,United Kingdom,Other Ethnic group: Any other ethnic group
143,United Kingdom,Do not wish to declare
144,United Kingdom,Do not wish to declare
145,United Kingdom,Do not wish to declare
146,United Kingdom,Do not wish to declare
147,United Kingdom,Do not wish to declare
148,United Kingdom,Do not wish to declare
149,United Kingdom,Do not wish to declare
150,United States,White
151,United States,White
152,United States,White
153,United States,White
154,United States,White
155,United States,White
156,United States,White
157,United States,White
158,United States,White
159,United States,White
160,United States,White
161,United States,White
162,United States,White
163,United States,White
164,United States,White
165,United States,White
166,United States,White
167,United States,White
168,United States,White
169,United States,White
170,United States,White
171,United States,White
172,United States,White
173,United States,White
174,United States,White
175,United States,White
176,United States,White
177,United States,White
178,United States,White
179,United States,White
180,United States,White
181,United States,White
182,United States,White
183,United States,White
184,United States,White
185,United States,White
186,United States,White
187,United States,White
188,United States,White
189,United States,White
190,United States,White
191,United States,White
192,United States,White
193,United States,White
194,United States,White
195,United States,White
196,United States,White
197,United States,White
198,United States,White
199,United States,White
200,United States,White
201,United States,White
202,United States,White
203,United States,White
204,United States,White
205,United States,White
206,United States,White
207,United States,White
208,United States,White
209,United States,White
210,United States,White
211,United States,White
212,United States,White
213,United States,White
214,United States,White
215,United States,White
216,United States,White
217,United States,White
218,United States,White
219,United States,White
220,United States,White
221,United States,White
222,United States,White
223,United States,White
224,United States,White
225,United States,White
226,United States,White
227,United States,White
228,United States,White
229,United States,White
230,United States,White
231,United States,White
232,United States,White
233,United States,White
234,United States,White
235,United States,White
236,United States,White
237,United States,White
238,United States,White
239,United States,White
240,United States,White
241,United States,White
242,United States,White
243,United States,White
244,United States,White
245,United States,White
246,United States,White
247,United States,White
248,United States,White
249,United States,White
250,United States,White
251,United States,White
252,United States,White
253,United States,White
254,United States,White
255,United States,White
256,United States,White
257,United States,White
258,United States,White
259,United States,White
260,United States,White
261,United States,White
262,United States,White
263,United States,Chinese
264,United States,Chinese
265,United States,Asian Indian
266,United States,Asian Indian
267,United States,Asian Indian
268,United States,Asian Indian
269,United States,Asian Indian
270,United States,Asian Indian
271,United States,Asian Indian
272,United States,Asian Indian
273,United States,Asian Indian
274,United States,Asian Indian
275,United States,Asian Indian
276,United States,Asian Indian
277,United States,Vietnamese
278,United States,Japanese
279,United States,Other Asian
280,United States,Some other race
281,United States,Some other race
282,United States,Do not wish to answer
283,United States,Do not wish to answer
284,United States,Do not wish to answer
285,United States,Do not wish to answer
286,United States,Do not wish to answer
