,socio1_0,socio2_0,socio2[other]_0
3,Argentina,Female,
4,Argentina,Prefer not to say,
5,Argentina,Prefer not to say,
6,Argentina,Female,
7,Argentina,Male,
8,Australia,Male,
9,Australia,Prefer not to say,
10,Australia,Male,
11,Australia,Male,
12,Australia,Male,
13,Australia,Male,
14,Australia,Male,
15,Australia,Male,
16,Australia,Male,
17,Australia,Male,
18,Australia,Male,
19,Australia,Female,
20,Australia,Female,
21,Australia,Female,
22,Australia,Male,
23,Australia,Male,
24,Australia,Male,
25,Australia,Male,
26,Australia,Male,
27,Australia,Male,
29,Australia,Male,
30,Australia,Male,
31,Australia,Male,
32,Australia,Male,
33,Australia,Male,
34,Australia,Male,
35,Australia,Male,
37,Australia,Male,
38,Australia,Female,
39,Australia,Male,
40,Australia,Male,
41,Austria,Female,
44,Austria,Male,
45,Belgium,Male,
46,Belgium,Male,
47,Belgium,Male,
48,Belgium,Prefer not to say,
49,Belgium,Male,
50,Belgium,Male,
51,Belgium,Male,
53,Belgium,Male,
54,Belgium,Male,
57,Belgium,Male,
58,Belgium,Male,
59,Belgium,Prefer not to say,
60,Belgium,Male,
61,Belgium,Female,
77,Czech Republic,Male,
78,Denmark,Male,
80,Denmark,Male,
81,Denmark,Male,
84,Denmark,Male,
85,Denmark,Male,
87,Egypt,Male,
89,Finland,Male,
90,Finland,Male,
91,Finland,Male,
92,Finland,Male,
93,Finland,Male,
94,Finland,Male,
95,Finland,Male,
98,Finland,Male,
100,Finland,Male,
101,Finland,Male,
102,Finland,Male,
106,Finland,Prefer not to say,
107,Finland,Male,
109,Finland,Male,
110,Finland,Male,
113,Finland,Male,
114,Finland,Female,
115,Finland,Female,
117,Finland,Male,
118,Finland,Female,
120,Finland,Male,
122,Finland,Male,
123,Finland,Female,
124,Finland,Male,
125,Finland,Male,
126,Finland,Male,
127,Finland,Male,
128,Finland,Male,
129,Finland,Male,
130,Finland,Male,
133,Finland,Male,
134,Finland,Prefer not to say,
135,Finland,Female,
136,Finland,Male,
137,Finland,Female,
138,Finland,Male,
140,Finland,Male,
141,Finland,Male,
144,Finland,Male,
145,Finland,Male,
146,France,Male,
147,France,Female,
148,France,Male,
149,France,Male,
150,France,Male,
151,France,Male,
152,France,Female,
153,France,Male,
154,France,Male,
155,France,Female,
156,France,Male,
157,France,Male,
159,France,Male,
160,France,Female,
161,France,Male,
