,Year_0,row_id,open3de_0
1,2022,2022_1,zenodo
3,2022,2022_3,zenodo
6,2022,2022_6,zenodo
7,2022,2022_7,zenodo
13,2022,2022_13,zenodo
17,2022,2022_17,zenodo
19,2022,2022_19,zenodo
21,2022,2022_21,zenodo
26,2022,2022_25,zenodo
28,2022,2022_27,zenodo
29,2022,2022_28,zenodo
30,2022,2022_29,zenodo
32,2022,2022_31,zenodo
33,2022,2022_32,zenodo
34,2022,2022_33,zenodo
35,2022,2022_34,osf
36,2022,2022_34,codeocean
37,2022,2022_34,zenodo
38,2022,2022_35,zenodo
39,2022,2022_36,zenodo
43,2022,2022_40,zenodo
58,2022,2022_55,zenodo
59,2022,2022_56,zenodo
60,2022,2022_56,ascl.net
62,2022,2022_58,zenodo
63,2022,2022_59,doe code
64,2022,2022_60,zenodo
65,2022,2022_61,zenodo
70,2022,2022_66,zenodo
72,2022,2022_68,zenodo
77,2022,2022_73,zenodo
78,2022,2022_74,zenodo
81,2022,2022_77,local library
85,2022,2022_81,zenodo
90,2022,2022_86,zenodo
92,2022,2022_88,zenodo
96,2022,2022_92,zenodo
97,2022,2022_93,zenodo
98,2022,2022_94,zenodo
102,2022,2022_98,figshare
103,2022,2022_99,zenodo
105,2022,2022_101,zenodo
110,2022,2022_106,zenodo
113,2022,2022_108,csiro dap)
114,2022,2022_108,zenodo
117,2022,2022_111,heliophysics registry
119,2022,2022_113,zenodo 
123,2022,2022_117,zenodo
125,2022,2022_119,zenodo
126,2022,2022_120,zenodo
127,2022,2022_121,zenodo
130,2022,2022_124,zenodo
132,2022,2022_126,zenodo
138,2022,2022_132,zenodo
143,2022,2022_137,zenodo
146,2022,2022_140,vor ort
149,2022,2022_143,zenodo
150,2022,2022_144,zenodo
151,2022,2022_145,zenodo
152,2022,2022_145,figshare
153,2022,2022_145,joss
158,2022,2022_150,zenodo or figshare
160,2022,2022_152,joss
161,2022,2022_153,zenodo
177,2022,2022_167,zenodo
182,2022,2022_172,zenodo
184,2022,2022_174,zenodo
189,2022,2022_179,google scholar
190,2022,2022_179, zotero
191,2022,2022_180,data inrae
194,2022,2022_183,zenodo
199,2022,2022_188,zenodo
201,2022,2022_190,zenodo
211,2022,2022_200,zenodo
212,2022,2022_200,orda
214,2022,2022_202,aucun
215,2022,2022_203,zenodo
219,2022,2022_207,zenodo
224,2022,2022_212,zenodo
225,2022,2022_213,zenodo
227,2022,2022_215,zenodo
229,2022,2022_217,zenodo
233,2022,2022_221,zenodo
236,2022,2022_224,doi
237,2022,2022_224,zenodo
239,2022,2022_226,zenodo
240,2022,2022_227,zenodo
241,2022,2022_228,local library
242,2022,2022_229,zenodo
243,2022,2022_230,zenodo
250,2022,2022_237,zenodo
257,2022,2022_243,joss
258,2022,2022_244,zenodo
260,2022,2022_245,zenodo
262,2022,2022_246,zenodo
264,2022,2022_248,zenodo
269,2022,2022_253,local library.
272,2022,2022_256,zenodo
273,2022,2022_257,zenodo
279,2022,2022_263,zenodo
281,2022,2022_265,zenodo
286,2022,2022_270,zenodo
287,2022,2022_271,zenodo
288,2022,2022_272,zenodo
291,2022,2022_275,zenodo
292,2022,2022_276,zenodo
293,2022,2022_277,bibliothek vor ort
294,2022,2022_277,zenodo
295,2022,2022_278,zenodo
301,2022,2022_283,zenodo
303,2022,2022_285,zenodo
305,2022,2022_287,gin.gnode.org
306,2022,2022_288,zenodo
308,2022,2022_290,zenodo
309,2022,2022_291,zenodo
314,2022,2022_296,zenodo
315,2022,2022_297,bibliothek
319,2022,2022_300,zenodo
320,2022,2022_300,radar
323,2022,2022_303,zenodo
325,2022,2022_305,zenodo
326,2022,2022_306,zenodo
330,2022,2022_310,zenodo
331,2022,2022_311,zenodo
338,2022,2022_318,zenodo
341,2022,2022_321,b/a
344,2022,2022_324,zenodo
351,2022,2022_331,zenodo
366,2022,2022_346,zenodo
367,2022,2022_347,zenodo
370,2022,2022_350,zenodo
372,2022,2022_352,zenodo
373,2022,2022_353,archives such as dans zenodo 
376,2022,2022_356,zenodo
378,2022,2022_358,zenodo
379,2022,2022_359,zenodo
380,2022,2022_359,figshare
384,2022,2022_363,zenodo
385,2022,2022_364,zenodo
393,2022,2022_372,zenodo
396,2022,2022_374,zenodo
397,2022,2022_374,elsevier
401,2022,2022_378,zenodo
404,2022,2022_381,zenodo 
409,2022,2022_386,aucun
412,2022,2022_389,zenodo
414,2022,2022_391,zenodo
415,2022,2022_392,zenodo
416,2022,2022_393,zenodo
417,2022,2022_394,zenodo
421,2022,2022_397,zenodo
428,2022,2022_404,zenodo
431,2022,2022_407,zenodo
440,2022,2022_416,zenodo
442,2022,2022_418,local library
443,2022,2022_418,zenodo
444,2022,2022_419,zenodo
446,2022,2022_420,zenodo
448,2022,2022_422,zenodo
451,2022,2022_424,zenodo
452,2022,2022_425,zenodo
456,2022,2022_429,zenodo
461,2022,2022_434,zenodo
462,2022,2022_435,bibliothèque locale
468,2022,2022_441,zenodo
469,2022,2022_441,researchgate
471,2022,2022_443,aucune
481,2022,2022_453,zenodo
484,2022,2022_456,zenodo
485,2022,2022_457,zenodo
488,2022,2022_460,zenodo
489,2022,2022_461,zenodo
492,2022,2022_464,zenodo
496,2022,2022_467,zenodo
498,2022,2022_469,je ne comprends pas la question.
502,2022,2022_473,zenodo
505,2022,2022_476,local library
518,2022,2022_489,zenodo
520,2022,2022_491,zenodo
522,2022,2022_493,zenodo
524,2022,2022_495,local library
525,2022,2022_496,zenodo
528,2022,2022_499,zenodo
531,2022,2022_502,zenodo
533,2022,2022_504,zenodo
536,2022,2022_507,zenodo
541,2022,2022_512,zenodo
542,2022,2022_513,zenodo
547,2022,2022_518,zenodo
551,2022,2022_522,zenodo
553,2022,2022_524,zenodo
555,2022,2022_526,zenodo
557,2022,2022_528,zenodo
558,2022,2022_529,local library and zenodo
559,2022,2022_530,zenodo
560,2022,2022_531,zenodo
566,2022,2022_537,zenodo
567,2022,2022_538,zenodo
568,2022,2022_538,code ocean
569,2022,2022_539,zenodo
571,2022,2022_541,zenodo
573,2022,2022_542,zenodo
576,2022,2022_545,zenodo
578,2022,2022_547,zenodo
579,2022,2022_548,local library
583,2022,2022_552,zenodo
584,2022,2022_553,figshare
585,2022,2022_554,zenodo
591,2022,2022_560,zenodo
594,2022,2022_563,zenodo
595,2022,2022_564,zenodo
597,2022,2022_566,zenodo
598,2022,2022_567,zenodo
599,2022,2022_568,zenodo
602,2022,2022_571,zenodo
606,2022,2022_575,zenodo
611,2022,2022_580,zenodo
613,2022,2022_582,zenodo
617,2022,2022_585,effectively local library)
619,2022,2022_587,zenodo
621,2022,2022_589,local library
633,2022,2022_601,zenodo
635,2022,2022_603,zenodo
644,2022,2022_612,zenodo
649,2022,2022_617,zenodo
650,2022,2022_618,zenodo
653,2022,2022_621,local library
655,2022,2022_621,pangea) and zenodo
659,2022,2022_625,zenodo
661,2022,2022_625,know better now)
662,2022,2022_626,zenodo
668,2022,2022_632,zenodo
669,2022,2022_633,zenodo
671,2022,2022_635,zenodo
681,2022,2022_645,zenodo
682,2022,2022_646,zenodo
697,2022,2022_661,zenodo
700,2022,2022_664,zenodo
701,2022,2022_664,local library
708,2022,2022_670,zenodo
711,2022,2022_673,zenodo
712,2022,2022_674,zenodo
714,2022,2022_676,zenodo
717,2022,2022_679,zenodo
718,2022,2022_679,rodare
720,2022,2022_681,zenodo or mendeley
722,2022,2022_683,zenodo
723,2022,2022_684,zenodo
725,2022,2022_686,osti
734,2022,2022_695,zenodo
735,2022,2022_696,edinburgh datashare
736,2022,2022_696,zenodo
741,2022,2022_701,figshare.com
742,2022,2022_701,zenodo.org and local library
743,2022,2022_702,zenodo
744,2022,2022_703,zenodo
748,2022,2022_707,doe code
749,2022,2022_707,zenodo
750,2022,2022_708,zenodo
752,2022,2022_710,zenodo
754,2022,2022_712,figshare
759,2022,2022_717,zenodo
769,2022,2022_727,open science framework
770,2022,2022_727,zenodo
771,2022,2022_728,zenodo
780,2022,2022_737,zenodo
782,2022,2022_739,zenodo
784,2022,2022_741,zenodo
787,2022,2022_743,zenodo
791,2022,2022_747,zenodo
796,2022,2022_752,zenodo
799,2022,2022_755,zenodo
805,2022,2022_761,zenodo
809,2022,2022_765,zenodo
810,2022,2022_765,figshare
812,2022,2022_765,via figshare too)
813,2022,2022_766,osf
814,2022,2022_766,https://osf.io/)
815,2022,2022_767,zenodo
817,2022,2022_769,zenodo
819,2022,2022_771,zenodo
820,2022,2022_772,zenodo
823,2022,2022_775,zenodo
829,2022,2022_781,zenodo
830,2022,2022_782,zenodo
831,2022,2022_783,zenodo
858,2022,2022_810,zenodo
859,2022,2022_810,dataverse
860,2022,2022_810,keeper
863,2022,2022_813,zenodo
865,2022,2022_815,open science foundation
866,2022,2022_815,osf)
868,2022,2022_817,dataverse
871,2022,2022_820,zenodo
877,2022,2022_825,local library
878,2022,2022_825,tind)
884,2022,2022_831,zenodo
887,2022,2022_834,bibliothek vor ort
888,2022,2022_835,bibliothek vor ort
894,2022,2022_841,zenodo
895,2022,2022_841,joss
899,2022,2022_845,gfz data services
901,2022,2022_847,zenodo
902,2022,2022_848,zenodo
909,2022,2022_855,zenodo
910,2022,2022_856,zenodo
922,2022,2022_868,zenodo
926,2022,2022_872,zenodo
930,2022,2022_876,zenodo
933,2022,2022_879,zenodo
945,2022,2022_891,zenodo
950,2022,2022_896,zenodo
953,2022,2022_899,zenodo
956,2022,2022_902,google scholar
957,2022,2022_902,mendeley
967,2022,2022_911,local library
968,2022,2022_911,zenodo
969,2022,2022_911,figshare
973,2022,2022_914,local
975,2022,2022_916,zenodo
980,2022,2022_921,zenodo
981,2022,2022_922,bibliothek
982,2022,2022_923,gfz data sciences
983,2022,2022_924,zenodo
984,2022,2022_924,local library
985,2022,2022_925,zenodo
988,2022,2022_928,zenodo
989,2022,2022_929,zenodo
992,2022,2022_932,zenodo
993,2022,2022_932,local library
994,2022,2022_933,zenodo
998,2022,2022_937,zenodo
1000,2022,2022_939,zenodo
1001,2022,2022_939,fighsare
1006,2022,2022_944,zenodo
1009,2022,2022_947,zenoda
1010,2022,2022_948,library
1012,2022,2022_950,zenodo
1017,2022,2022_955,zenodo 
1018,2022,2022_956,zenodo
1024,2022,2022_962,zenodo
1025,2022,2022_963,zenodo
1026,2022,2022_964,zenodo
1027,2022,2022_965,zenodo
1029,2022,2022_965,very new)
1031,2022,2022_967,zenodo
1032,2022,2022_968,zenodo
1038,2022,2022_974,zenodo
1042,2022,2022_978,zenodo
1047,2022,2022_983,zenodo
1051,2022,2022_986,zenodo
1052,2022,2022_987,zenodo
1054,2022,2022_989,zenodo
1055,2022,2022_989,joss
1057,2022,2022_991,zenodo
1061,2022,2022_995,zenodo
1063,2022,2022_997,zenodo
1071,2022,2022_1005,zenodo
1079,2022,2022_1013,zenodo
1083,2022,2022_1017,zenodo
1089,2022,2022_1023,zenodo
1091,2022,2022_1024,darus
1094,2022,2022_1025,zenodo
1095,2022,2022_1026,gfz data services/fid geo
1096,2022,2022_1026,zenodo
1097,2022,2022_1027,zenodo
1099,2022,2022_1029,zenodo
1102,2022,2022_1032,zenodo
1104,2022,2022_1034,zenodo
1108,2022,2022_1038,bibliothek vor ort
1109,2022,2022_1038,zenodo)
1113,2022,2022_1042,zenodo
1114,2022,2022_1043,bibliothek
1120,2022,2022_1049,pure
1124,2022,2022_1053,zenodo
1125,2022,2022_1054,local library
1126,2022,2022_1055,zenodo
1127,2022,2022_1055,osf
1132,2022,2022_1060,local library
1138,2022,2022_1066,zenodo
1142,2022,2022_1070,zenodo
1143,2022,2022_1071,zotero
1145,2022,2022_1073,zenodo
1151,2022,2022_1079,zenodo
1157,2022,2022_1085,zenodo
1158,2022,2022_1086,zenodo
1161,2022,2022_1089,zenodo
1163,2022,2022_1091,zenodo
1165,2022,2022_1093,local system
1169,2022,2022_1097,zenodo
1170,2022,2022_1098,zenodo
1179,2022,2022_1107,zenodo
1188,2022,2022_1116,zenodo
1193,2022,2022_1121,zenodo
1209,2022,2022_1137,zenodo
1210,2022,2022_1138,zenodo
1211,2022,2022_1139,zenodo
1213,2022,2022_1141,zenodo
1214,2022,2022_1142,zenodo
1215,2022,2022_1143,zenodo
1216,2022,2022_1144,figshare
1225,2022,2022_1153,scicrunch
1226,2022,2022_1154,zenodo
1227,2022,2022_1155,zenodo
1229,2022,2022_1157,zenodo
1231,2022,2022_1159,zenodo
1254,2022,2022_1182,zenodo
1256,2022,2022_1184,zenodo
1259,2022,2022_1187,zenodo
1260,2022,2022_1188,zenodo
1267,2022,2022_1195,local library
1268,2022,2022_1195,zenodo
1269,2022,2022_1196,zenodo
1273,2022,2022_1198,zenodo
1277,2022,2022_1202,zenodo
1281,2022,2022_1206,zenodo
1284,2022,2022_1209,zenodo
1293,2022,2022_1218,zenodo
1296,2022,2022_1221,zenodo
1298,2022,2022_1222,osf
1301,2022,2022_1225,zenodo
1303,2022,2022_1227,zenodo
1309,2022,2022_1232,zenodo
1312,2022,2022_1235,zenodo
1313,2022,2022_1235,unibibliothek
1314,2022,2022_1236,zenodo
1316,2022,2022_1238,zenodo
1319,2022,2022_1241,zenodo
1320,2022,2022_1242,zenodo
1326,2022,2022_1248,zenodo
1329,2022,2022_1251,zenodo
1334,2022,2022_1256,zenodo
1337,2022,2022_1259,zenodo
1346,2022,2022_1268,zenodo
1348,2022,2022_1270,zenodo
1351,2022,2022_1272,pip
1352,2022,2022_1272,conda
1353,2022,2022_1272,local library
1354,2022,2022_1273,zenodo
1358,2022,2022_1277,bibliothek
1367,2022,2022_1286,zenodo
1368,2022,2022_1286,figshare
1369,2022,2022_1287,zenodo
1378,2022,2022_1296,zenodo
1379,2022,2022_1297,zenodo
1390,2022,2022_1308,zenodo
1393,2022,2022_1311,zenodo
1394,2022,2022_1312,softwarepaper
1397,2022,2022_1315,bibliothek vor ort
1398,2022,2022_1315,zenodo
1400,2022,2022_1317,zenodo
1401,2022,2022_1318,publikationsserver bibliothek tu braunschweig
1402,2022,2022_1319,zenodo
1403,2022,2022_1320,zenodo
