,socio1_0,socio4qde_0,socio4qnl_0,socio4quk_0,socio4qus_0,socio4qzaf_0,socio4qnzl_0,socio4qaus_0
8,Australia,,,,,,,"≥ AUD 120,000"
9,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
10,Australia,,,,,,,"≥ AUD 120,000"
11,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
12,Australia,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
13,Australia,,,,,,,"≥ AUD 120,000"
14,Australia,,,,,,,"≥ AUD 120,000"
15,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
16,Australia,,,,,,,"≥ AUD 120,000"
17,Australia,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
18,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
19,Australia,,,,,,,"≥ AUD 65,000 and < AUD 85,000"
20,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
21,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
22,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
23,Australia,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
24,Australia,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
25,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
26,Australia,,,,,,,"< AUD 45,000"
27,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
29,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
30,Australia,,,,,,,"≥ AUD 65,000 and < AUD 85,000"
31,Australia,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
32,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
33,Australia,,,,,,,"≥ AUD 120,000"
34,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
35,Australia,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
37,Australia,,,,,,,"≥ AUD 120,000"
38,Australia,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
39,Australia,,,,,,,"≥ AUD 120,000"
40,Australia,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
224,Germany,Between 77.000 and 109.999 EUR,,,,,,
225,Germany,Between 50.000 and 54.999 EUR,,,,,,
226,Germany,Between 77.000 and 109.999 EUR,,,,,,
227,Germany,Between 38.500 and 43.999 EUR,,,,,,
228,Germany,Between 66.000 and 76.999 EUR,,,,,,
230,Germany,Between 50.000 and 54.999 EUR,,,,,,
231,Germany,Between 77.000 and 109.999 EUR,,,,,,
232,Germany,Between 66.000 and 76.999 EUR,,,,,,
233,Germany,Between 50.000 and 54.999 EUR,,,,,,
234,Germany,Between 50.000 and 54.999 EUR,,,,,,
236,Germany,Between 66.000 and 76.999 EUR,,,,,,
237,Germany,Prefer not to say,,,,,,
238,Germany,Between 55.000 and 65.999 EUR,,,,,,
239,Germany,Between 55.000 and 65.999 EUR,,,,,,
240,Germany,Between 55.000 and 65.999 EUR,,,,,,
241,Germany,Prefer not to say,,,,,,
244,Germany,Between 66.000 and 76.999 EUR,,,,,,
245,Germany,Between 50.000 and 54.999 EUR,,,,,,
246,Germany,Between 27.500 and 32.999 EUR,,,,,,
247,Germany,Between 77.000 and 109.999 EUR,,,,,,
249,Germany,Between 33.000 and 38.499 EUR,,,,,,
250,Germany,Between 66.000 and 76.999 EUR,,,,,,
251,Germany,Between 38.500 and 43.999 EUR,,,,,,
252,Germany,Between 66.000 and 76.999 EUR,,,,,,
253,Germany,Between 55.000 and 65.999 EUR,,,,,,
257,Germany,Between 66.000 and 76.999 EUR,,,,,,
258,Germany,Between 55.000 and 65.999 EUR,,,,,,
259,Germany,Between 66.000 and 76.999 EUR,,,,,,
260,Germany,Between 66.000 and 76.999 EUR,,,,,,
261,Germany,Between 44.000 and 49.999 EUR,,,,,,
262,Germany,Between 55.000 and 65.999 EUR,,,,,,
263,Germany,Between 50.000 and 54.999 EUR,,,,,,
264,Germany,Between 33.000 and 38.499 EUR,,,,,,
265,Germany,Between 55.000 and 65.999 EUR,,,,,,
266,Germany,Between 55.000 and 65.999 EUR,,,,,,
267,Germany,Between 55.000 and 65.999 EUR,,,,,,
269,Germany,Between 44.000 and 49.999 EUR,,,,,,
270,Germany,Between 55.000 and 65.999 EUR,,,,,,
271,Germany,Between 55.000 and 65.999 EUR,,,,,,
272,Germany,Between 27.500 and 32.999 EUR,,,,,,
273,Germany,Between 66.000 and 76.999 EUR,,,,,,
274,Germany,Between 50.000 and 54.999 EUR,,,,,,
275,Germany,Between 55.000 and 65.999 EUR,,,,,,
277,Germany,Between 55.000 and 65.999 EUR,,,,,,
279,Germany,Between 27.500 and 32.999 EUR,,,,,,
280,Germany,Between 38.500 and 43.999 EUR,,,,,,
282,Germany,Between 77.000 and 109.999 EUR,,,,,,
283,Germany,Between 38.500 and 43.999 EUR,,,,,,
284,Germany,Between 50.000 and 54.999 EUR,,,,,,
288,Germany,Between 44.000 and 49.999 EUR,,,,,,
289,Germany,Between 50.000 and 54.999 EUR,,,,,,
290,Germany,Between 77.000 and 109.999 EUR,,,,,,
291,Germany,Between 66.000 and 76.999 EUR,,,,,,
292,Germany,Between 33.000 and 38.499 EUR,,,,,,
294,Germany,Between 55.000 and 65.999 EUR,,,,,,
295,Germany,Between 50.000 and 54.999 EUR,,,,,,
296,Germany,Between 55.000 and 65.999 EUR,,,,,,
297,Germany,Between 38.500 and 43.999 EUR,,,,,,
298,Germany,Between 38.500 and 43.999 EUR,,,,,,
299,Germany,Between 55.000 and 65.999 EUR,,,,,,
301,Germany,Between 44.000 and 49.999 EUR,,,,,,
303,Germany,Between 55.000 and 65.999 EUR,,,,,,
304,Germany,Between 55.000 and 65.999 EUR,,,,,,
305,Germany,Between 55.000 and 65.999 EUR,,,,,,
307,Germany,Prefer not to say,,,,,,
308,Germany,Between 66.000 and 76.999 EUR,,,,,,
309,Germany,Between 66.000 and 76.999 EUR,,,,,,
310,Germany,Between 50.000 and 54.999 EUR,,,,,,
311,Germany,Less than 27.499 EUR,,,,,,
313,Germany,Less than 27.499 EUR,,,,,,
314,Germany,Between 50.000 and 54.999 EUR,,,,,,
315,Germany,Between 55.000 and 65.999 EUR,,,,,,
316,Germany,Between 77.000 and 109.999 EUR,,,,,,
317,Germany,Between 66.000 and 76.999 EUR,,,,,,
318,Germany,Between 55.000 and 65.999 EUR,,,,,,
319,Germany,Between 50.000 and 54.999 EUR,,,,,,
320,Germany,Between 55.000 and 65.999 EUR,,,,,,
321,Germany,Between 38.500 and 43.999 EUR,,,,,,
322,Germany,Between 66.000 and 76.999 EUR,,,,,,
326,Germany,Between 55.000 and 65.999 EUR,,,,,,
327,Germany,Between 50.000 and 54.999 EUR,,,,,,
328,Germany,Between 55.000 and 65.999 EUR,,,,,,
329,Germany,Between 55.000 and 65.999 EUR,,,,,,
330,Germany,Between 55.000 and 65.999 EUR,,,,,,
331,Germany,Between 50.000 and 54.999 EUR,,,,,,
333,Germany,Between 38.500 and 43.999 EUR,,,,,,
