,Year_0,row_id,train3_0
2,2022,2022_2,vib gentle introduction to python
3,2022,2022_3,local university
7,2022,2022_7,local university
16,2022,2022_16,local university
17,2022,2022_16,online
18,2022,2022_17,local university
21,2022,2022_19,local university
22,2022,2022_19,cdt training
24,2022,2022_21,local university
25,2022,2022_22,local university
26,2022,2022_23,carpentries
27,2022,2022_23,university lecturing
28,2022,2022_23,local training
34,2022,2022_29,local university
35,2022,2022_29,and m. sc. software engineering teaching
38,2022,2022_32,university teaching
39,2022,2022_33,local university
40,2022,2022_34,local university
41,2022,2022_34,carpentries
42,2022,2022_34,summer schools
43,2022,2022_35,local group training
44,2022,2022_36,local university
45,2022,2022_36,carpentries
47,2022,2022_38,local university
49,2022,2022_40,carpentries
50,2022,2022_40,local university
64,2022,2022_54,carpentries
65,2022,2022_55,carpentries
66,2022,2022_56,openplanetary.org
68,2022,2022_58,software engineering
69,2022,2022_59,local university
71,2022,2022_61,sc bofs
78,2022,2022_68,reu
79,2022,2022_68,various summer schools
80,2022,2022_68,training within my research group
84,2022,2022_72,carpentries
85,2022,2022_72,local training
87,2022,2022_73,lbl it trainings)
90,2022,2022_76,carpentries
91,2022,2022_76,local university
92,2022,2022_76,telescope reu training
93,2022,2022_77,hpc
94,2022,2022_77,workshops
101,2022,2022_84,training on our software tool sets
102,2022,2022_85,local university
104,2022,2022_87,research group training
105,2022,2022_88,carpentries
106,2022,2022_88,informal
110,2022,2022_92,carpentries
111,2022,2022_93,carpentries
112,2022,2022_93,coderefinery
113,2022,2022_93,local programs
114,2022,2022_94,local university
115,2022,2022_94,department training
116,2022,2022_95,custom
118,2022,2022_97,carpentries
119,2022,2022_98,local hacky hour
122,2022,2022_101,juliacon
123,2022,2022_101,vueconf
124,2022,2022_101,rebase
126,2022,2022_103,carpentries
127,2022,2022_103,carpentries
128,2022,2022_103,lecturing
133,2022,2022_108,carpentries
134,2022,2022_108,local training
137,2022,2022_111,local training
139,2022,2022_113,own hosted courses
140,2022,2022_113,collaboratively run courses
144,2022,2022_117,coderefinery
145,2022,2022_117,carpentries
146,2022,2022_117,aalto scicomp training
148,2022,2022_119,carpentries
149,2022,2022_119,local university
151,2022,2022_120,local univeristy training; training at other institutions
152,2022,2022_121,carpentries
154,2022,2022_123,private & university courses
155,2022,2022_124,teach postgrad students atlocal university
157,2022,2022_124,ml software
164,2022,2022_131,posgraduate courses
167,2022,2022_134,phd summer schools (bmva)
171,2022,2022_137,carpentries
172,2022,2022_137,local university
175,2022,2022_140,carpentries
176,2022,2022_140,lokale lehrgänge
178,2022,2022_142,hpc
179,2022,2022_142,university scientific computing mphil 
180,2022,2022_143,carpentries
181,2022,2022_143,nvidia dli training
182,2022,2022_143,local university
183,2022,2022_144,local
184,2022,2022_145,uk acoustics network summer school
185,2022,2022_146,local university
188,2022,2022_149,carpentries
189,2022,2022_149,coderefinery
190,2022,2022_150,training within my group
192,2022,2022_152,microscopy
193,2022,2022_152,software
194,2022,2022_153,eu project training
195,2022,2022_153,local university
202,2022,2022_160,carpentries
203,2022,2022_160,local university
211,2022,2022_168,local university
215,2022,2022_172,local junior scientist training
216,2022,2022_173,local training
217,2022,2022_173,country wide university training
218,2022,2022_174,molssi
219,2022,2022_174,local university
220,2022,2022_174,bioexcel
221,2022,2022_174,gromacs workshops
227,2022,2022_179,mais je forme localement de pair à pairs.
231,2022,2022_183,carpentries
239,2022,2022_190,en tant que cofo et dans le réseau de métier cepage
245,2022,2022_195,mais en interne
250,2022,2022_200,gpu training
251,2022,2022_200,software engineering best practice
257,2022,2022_206,local university
259,2022,2022_208,capacitacion universitaria local
264,2022,2022_213,programme local
265,2022,2022_213,computing schools (gridka)
270,2022,2022_217,local university
277,2022,2022_224,coursework
278,2022,2022_224,tutorials
280,2022,2022_226,local university
281,2022,2022_227,vorlesungen und workshops an der hochschule
288,2022,2022_233,vorlesung an universität
