,Year_0,row_id,ukrse3_0,skill2_0
1,2022,2022_1,,project management
2,2022,2022_2,university,Monoidal GUI construction
3,2022,2022_2,job,Monoidal GUI construction
4,2022,2022_2,self-taught,Monoidal GUI construction
5,2022,2022_2,university,Monad Transformers
6,2022,2022_2,job,Monad Transformers
7,2022,2022_2,self-taught,Monad Transformers
8,2022,2022_2,university,Team leadership
9,2022,2022_2,job,Team leadership
10,2022,2022_2,self-taught,Team leadership
11,2022,2022_3,self-taught,
12,2022,2022_4,écolé d'ingénieur,
15,2022,2022_7,university,best practices
16,2022,2022_7,university,updates on new technologies
17,2022,2022_7,university,containerization
19,2022,2022_9,university,
21,2022,2022_11,self-taught,having a time machine
22,2022,2022_11,self-taught,machine learning skills 
25,2022,2022_14,university,
27,2022,2022_16,self-taught,Learn more programming languages (esp. Julia and Python).
28,2022,2022_17,university,Software and project management in academia
29,2022,2022_17,university,Software and project management in academia
30,2022,2022_17,postdoc,Software and project management in academia
31,2022,2022_17,job,Software and project management in academia
32,2022,2022_17,university,requirements engineering in research
33,2022,2022_17,university,requirements engineering in research
34,2022,2022_17,postdoc,requirements engineering in research
35,2022,2022_17,job,requirements engineering in research
36,2022,2022_17,university,Grant writing
37,2022,2022_17,university,Grant writing
38,2022,2022_17,postdoc,Grant writing
39,2022,2022_17,job,Grant writing
41,2022,2022_19,university,Training skills
42,2022,2022_19,university,research methods
44,2022,2022_21,university,Management
45,2022,2022_21,self-taught,Management
46,2022,2022_21,job,Management
47,2022,2022_21,university,technical writing
48,2022,2022_21,self-taught,technical writing
49,2022,2022_21,job,technical writing
50,2022,2022_21,university,software architecture
51,2022,2022_21,self-taught,software architecture
52,2022,2022_21,job,software architecture
53,2022,2022_22,learn as you go,low level language (C
54,2022,2022_22,learn as you go,C++)
55,2022,2022_22,no formal training,low level language (C
56,2022,2022_22,no formal training,C++)
57,2022,2022_22,learn as you go,management (project
58,2022,2022_22,no formal training,management (project
59,2022,2022_22,learn as you go,software
60,2022,2022_22,no formal training,software
61,2022,2022_22,learn as you go,people)
62,2022,2022_22,no formal training,people)
63,2022,2022_23,university,
64,2022,2022_23,job,
65,2022,2022_23,university,
66,2022,2022_23,job,
68,2022,2022_25,job,writing papers and applying for research funding
69,2022,2022_26,,Automatización de tareas
70,2022,2022_26,,testing
71,2022,2022_26,,review de código
74,2022,2022_29,job,User interface design
75,2022,2022_29,job,requirements engineering
76,2022,2022_29,job,project management
78,2022,2022_31,university,
79,2022,2022_31,university,
80,2022,2022_32,job,None really... my general research skills need more developmente that my software skills at this point.
81,2022,2022_33,self-taught,people managment
82,2022,2022_33,self-taught,time management
83,2022,2022_34,job,
84,2022,2022_35,job,how to secure funding
85,2022,2022_35,job,how to secure funding
86,2022,2022_35,job,how to secure funding
87,2022,2022_36,job,Time estimation
88,2022,2022_36,job,preparing grants
89,2022,2022_36,job,HPC
91,2022,2022_38,university,testing
92,2022,2022_38,self-taught,testing
93,2022,2022_38,university,documentation system
94,2022,2022_38,self-taught,documentation system
95,2022,2022_38,university,packaging
96,2022,2022_38,self-taught,packaging
98,2022,2022_40,university,data science
99,2022,2022_40,university,project management
100,2022,2022_40,university,automated testing
102,2022,2022_42,self-taught,more domain knowledge
103,2022,2022_43,self-taught,High-performance computing software development
104,2022,2022_43,self-taught,getting funding
105,2022,2022_43,self-taught,front-end development
107,2022,2022_45,self-taught,Cloud development
108,2022,2022_45,self-taught,software design patterns
109,2022,2022_45,self-taught,open-source collaboration
114,2022,2022_50,i had skills they needed.  no formal skills specifically for research.,none
115,2022,2022_50,i had skills they needed.  no formal skills specifically for research.,none
116,2022,2022_50,i had skills they needed.  no formal skills specifically for research.,none
119,2022,2022_53,self-taught,Java & C++ programmer
120,2022,2022_54,self-taught,sustainability of existing projects
121,2022,2022_54,self-taught,learning about accessibility and how to develop accessible software
122,2022,2022_54,self-taught,making software releases (GitHub versions
123,2022,2022_54,self-taught,PyPi
124,2022,2022_54,self-taught,conda etc)
125,2022,2022_55,self-taught,Javascript
126,2022,2022_55,self-taught,compiled languages (C++
127,2022,2022_55,self-taught,C#)
128,2022,2022_55,self-taught,community building
129,2022,2022_56,job,
130,2022,2022_56,self-taught,
132,2022,2022_58,university,testing
133,2022,2022_58,university,documentation and general organization
134,2022,2022_59,self-taught,GPU computing
135,2022,2022_59,self-taught,management skills for software projects
136,2022,2022_59,self-taught,defining terms and scopes for software projects
137,2022,2022_60,self-taught,Statistics cloud machine-learning
138,2022,2022_61,in the wild,HPC development
139,2022,2022_61,in the wild,leadership
140,2022,2022_62,self-taught,Get better at C
141,2022,2022_62,university,Get better at C
142,2022,2022_62,self-taught,Learn Rust
143,2022,2022_62,university,Learn Rust
144,2022,2022_62,self-taught,Earn AWS certification
145,2022,2022_62,university,Earn AWS certification
146,2022,2022_63,university,testing (other than unit tests)
147,2022,2022_63,university,more technical languages
148,2022,2022_63,university,distributed computing
151,2022,2022_66,university,project management
152,2022,2022_66,postdoc,project management
153,2022,2022_66,university,continuing education on new language
154,2022,2022_66,university,library features
155,2022,2022_66,postdoc,continuing education on new language
156,2022,2022_66,postdoc,library features
158,2022,2022_68,job,onboarding new contributors
159,2022,2022_68,self-taught,onboarding new contributors
160,2022,2022_68,job,how to design software architecture
161,2022,2022_68,self-taught,how to design software architecture
162,2022,2022_68,job,how to coordinate development of a mostly volunteer-developed research software project
163,2022,2022_68,self-taught,how to coordinate development of a mostly volunteer-developed research software project
167,2022,2022_72,self-taught,managing small projects
168,2022,2022_72,job,managing small projects
169,2022,2022_72,self-taught,managing small projects
170,2022,2022_72,self-taught,code maintaince
171,2022,2022_72,job,code maintaince
172,2022,2022_72,self-taught,code maintaince
173,2022,2022_72,self-taught,understanding research vs production software
174,2022,2022_72,job,understanding research vs production software
175,2022,2022_72,self-taught,understanding research vs production software
176,2022,2022_73,university,training to develop the basic skills necessary to manage a research project
177,2022,2022_73,job,training to develop the basic skills necessary to manage a research project
178,2022,2022_73,developing domain-specific software for new aerospace applications in a commercial setting,training to develop the basic skills necessary to manage a research project
179,2022,2022_73,university,training to develop the basic skills necessary to manage a research project
180,2022,2022_73,university,A refresher course on writing papers for conference and publication
181,2022,2022_73,job,A refresher course on writing papers for conference and publication
