,socio1_0,ethnicity_latino,socio5quk[other]_0,socio5qus[other]_0,socio5qzaf[other]_0,socio5
0,South Africa,,,,,White
1,South Africa,,,,,White
2,South Africa,,,,,White
3,South Africa,,,,,White
4,South Africa,,,,,White
5,South Africa,,,,,White
6,South Africa,,,,Disabled,White
7,South Africa,,,,,Indian/Asian
8,South Africa,,,,,White
9,South Africa,,,,,Coloured
10,South Africa,,,,,Black African
11,South Africa,,,,,Black African
12,South Africa,,,,,Black African
13,South Africa,,,,,Black African
14,South Africa,,,,,Black African
15,South Africa,,,,,Black African
16,South Africa,,,,,White
17,South Africa,,,,,Black African
18,South Africa,,,,,White
19,South Africa,,,,,Black African
20,South Africa,,,,,White
21,South Africa,,,,,White
22,South Africa,,,,,White
23,South Africa,,,,,White
24,South Africa,,,,,White
25,South Africa,,,,,White
26,South Africa,,,,,White
27,South Africa,,,,,White
28,South Africa,,,,,White
29,South Africa,,,,,White
30,South Africa,,,,,White
31,South Africa,,,,,White
32,South Africa,,,,,White
33,South Africa,,,,,White
34,South Africa,,,,,White
35,South Africa,,,,,White
36,South Africa,,,,,White
37,South Africa,,,,,White
38,United Kingdom,,,,,White: Any other White background
39,United Kingdom,,,,,White: Any other White background
40,United Kingdom,,,,,White: Any other White background
41,United Kingdom,,,,,White: Any other White background
42,United Kingdom,,,,,White: Any other White background
43,United Kingdom,,,,,White: Any other White background
44,United Kingdom,,,,,White: Any other White background
45,United Kingdom,,,,,White: Any other White background
46,United Kingdom,,,,,White: Any other White background
47,United Kingdom,,,,,White: Any other White background
48,United Kingdom,,,,,White: Any other White background
49,United Kingdom,,,,,White: Any other White background
50,United Kingdom,,,,,White: Any other White background
51,United Kingdom,,,,,White: Any other White background
52,United Kingdom,,,,,White: Any other White background
53,United Kingdom,,,,,White: Any other White background
54,United Kingdom,,,,,White: Any other White background
55,United Kingdom,,,,,White: Any other White background
56,United Kingdom,,,,,White: Any other White background
57,United Kingdom,,,,,White: Any other White background
58,United Kingdom,,,,,White: Any other White background
59,United Kingdom,,,,,Do not wish to declare
60,United Kingdom,,,,,Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background
61,United Kingdom,,,,,Do not wish to declare
62,United Kingdom,,,,,Do not wish to declare
63,United Kingdom,,,,,Do not wish to declare
64,United Kingdom,,,,,White: Any other White background
65,United Kingdom,,,,,Do not wish to declare
66,United Kingdom,,,,,Do not wish to declare
67,United Kingdom,,,,,Do not wish to declare
68,United Kingdom,,,,,Do not wish to declare
69,United Kingdom,,,,,Other Ethnic group: Any other ethnic group
70,United Kingdom,,,,,White: Any other White background
71,United Kingdom,,,,,Other Ethnic group: Any other ethnic group
72,United Kingdom,,,,,Asian / Asian British: Any other Asian background
73,United Kingdom,,,,,Asian / Asian British: Any other Asian background
74,United Kingdom,,,,,Asian / Asian British: Chinese
75,United Kingdom,,,,,Asian / Asian British: Pakistani
76,United Kingdom,,,,,Asian / Asian British: Pakistani
77,United Kingdom,,,,,Asian / Asian British: Indian
78,United Kingdom,,,,,Asian / Asian British: Indian
79,United Kingdom,,,,,Asian / Asian British: Indian
80,United Kingdom,,,,,Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background
81,United Kingdom,,,,,Black / African / Caribbean / Black British:  African
82,United Kingdom,,,,,White: Any other White background
83,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
84,United Kingdom,,,,,White: Any other White background
85,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
86,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
87,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
88,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
89,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
90,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
91,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
92,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
93,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
94,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
95,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
96,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
97,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
98,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
99,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
100,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
101,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
102,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
103,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
104,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
105,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
106,United Kingdom,,,,,White: Any other White background
107,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
108,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
109,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
110,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
111,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
112,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
113,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
114,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
115,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
116,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
117,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
118,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
119,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
120,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
121,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
122,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
123,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
124,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
125,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
126,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
127,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
128,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
129,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
130,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
131,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
132,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
133,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
134,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
135,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
136,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
137,United Kingdom,,,,,White: Irish
138,United Kingdom,,,,,White: Irish
139,United Kingdom,,,,,White: Any other White background
140,United Kingdom,,,,,White: Any other White background
141,United Kingdom,,,,,White: Any other White background
142,United Kingdom,,,,,White: Any other White background
143,United Kingdom,,,,,White: Any other White background
144,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
145,United Kingdom,,,,,White: English / Welsh / Scottish / Northern Irish / British
