,Year_0,row_id,fund3[other]_0,fund3
0,2026,2026_1,,Institutional support (centrally funded)
1,2026,2026_3,,Institutional support (centrally funded)
2,2026,2026_8,,Institutional support (centrally funded)
3,2026,2026_13,,Institutional support (centrally funded)
4,2026,2026_15,,Institutional support (centrally funded)
5,2026,2026_16,,Institutional support (centrally funded)
6,2026,2026_17,,Institutional support (centrally funded)
7,2026,2026_19,,Institutional support (centrally funded)
8,2026,2026_21,,Institutional support (centrally funded)
9,2026,2026_23,,Institutional support (centrally funded)
10,2026,2026_24,,Institutional support (centrally funded)
11,2026,2026_30,,Institutional support (centrally funded)
12,2026,2026_31,,Institutional support (centrally funded)
13,2026,2026_35,,Institutional support (centrally funded)
14,2026,2026_39,,Institutional support (centrally funded)
15,2026,2026_44,,Institutional support (centrally funded)
16,2026,2026_45,,Institutional support (centrally funded)
17,2026,2026_48,,Institutional support (centrally funded)
18,2026,2026_49,,Institutional support (centrally funded)
19,2026,2026_51,,Institutional support (centrally funded)
20,2026,2026_56,,Institutional support (centrally funded)
21,2026,2026_59,,Institutional support (centrally funded)
22,2026,2026_60,,Institutional support (centrally funded)
23,2026,2026_65,,Institutional support (centrally funded)
24,2026,2026_66,,Institutional support (centrally funded)
25,2026,2026_67,,Institutional support (centrally funded)
26,2026,2026_68,,Institutional support (centrally funded)
27,2026,2026_69,,Institutional support (centrally funded)
28,2026,2026_73,,Institutional support (centrally funded)
29,2026,2026_77,,Institutional support (centrally funded)
30,2026,2026_81,,Institutional support (centrally funded)
31,2026,2026_84,,Institutional support (centrally funded)
32,2026,2026_85,,Institutional support (centrally funded)
33,2026,2026_86,,Institutional support (centrally funded)
34,2026,2026_87,,Institutional support (centrally funded)
35,2026,2026_88,,Institutional support (centrally funded)
36,2026,2026_89,,Institutional support (centrally funded)
37,2026,2026_92,,Institutional support (centrally funded)
38,2026,2026_93,,Institutional support (centrally funded)
39,2026,2026_94,,Institutional support (centrally funded)
40,2026,2026_95,,Institutional support (centrally funded)
41,2026,2026_97,,Institutional support (centrally funded)
42,2026,2026_98,,Institutional support (centrally funded)
43,2026,2026_102,,Institutional support (centrally funded)
44,2026,2026_105,,Institutional support (centrally funded)
45,2026,2026_107,,Institutional support (centrally funded)
46,2026,2026_108,,Institutional support (centrally funded)
47,2026,2026_109,,Institutional support (centrally funded)
48,2026,2026_115,,Institutional support (centrally funded)
49,2026,2026_116,,Institutional support (centrally funded)
50,2026,2026_118,,Institutional support (centrally funded)
51,2026,2026_119,,Institutional support (centrally funded)
52,2026,2026_121,,Institutional support (centrally funded)
53,2026,2026_122,,Institutional support (centrally funded)
54,2026,2026_123,,Institutional support (centrally funded)
55,2026,2026_124,,Institutional support (centrally funded)
56,2026,2026_125,,Institutional support (centrally funded)
57,2026,2026_128,,Institutional support (centrally funded)
58,2026,2026_130,,Institutional support (centrally funded)
59,2026,2026_132,european projects,Institutional support (centrally funded)
60,2026,2026_133,,Institutional support (centrally funded)
61,2026,2026_134,,Institutional support (centrally funded)
62,2026,2026_135,,Institutional support (centrally funded)
63,2026,2026_136,Some additional work is paid for through self-employment,Institutional support (centrally funded)
64,2026,2026_140,,Institutional support (centrally funded)
65,2026,2026_143,,Institutional support (centrally funded)
66,2026,2026_147,,Institutional support (centrally funded)
67,2026,2026_151,,Institutional support (centrally funded)
68,2026,2026_153,,Institutional support (centrally funded)
69,2026,2026_154,,Institutional support (centrally funded)
70,2026,2026_162,,Institutional support (centrally funded)
71,2026,2026_167,,Institutional support (centrally funded)
72,2026,2026_170,,Institutional support (centrally funded)
73,2026,2026_187,,Institutional support (centrally funded)
74,2026,2026_194,,Institutional support (centrally funded)
75,2026,2026_197,,Institutional support (centrally funded)
76,2026,2026_198,,Institutional support (centrally funded)
77,2026,2026_202,,Institutional support (centrally funded)
78,2026,2026_203,,Institutional support (centrally funded)
79,2026,2026_204,,Institutional support (centrally funded)
80,2026,2026_205,,Institutional support (centrally funded)
81,2026,2026_206,,Institutional support (centrally funded)
82,2026,2026_209,,Institutional support (centrally funded)
83,2026,2026_210,,Institutional support (centrally funded)
84,2026,2026_224,,Institutional support (centrally funded)
85,2026,2026_227,,Institutional support (centrally funded)
86,2026,2026_228,,Institutional support (centrally funded)
87,2026,2026_229,,Institutional support (centrally funded)
88,2026,2026_232,,Institutional support (centrally funded)
89,2026,2026_236,,Institutional support (centrally funded)
90,2026,2026_240,,Institutional support (centrally funded)
91,2026,2026_243,,Institutional support (centrally funded)
92,2026,2026_244,,Institutional support (centrally funded)
93,2026,2026_247,,Institutional support (centrally funded)
94,2026,2026_249,,Institutional support (centrally funded)
95,2026,2026_250,,Institutional support (centrally funded)
96,2026,2026_253,,Institutional support (centrally funded)
97,2026,2026_257,,Institutional support (centrally funded)
98,2026,2026_259,,Institutional support (centrally funded)
99,2026,2026_260,,Institutional support (centrally funded)
100,2026,2026_262,,Institutional support (centrally funded)
101,2026,2026_265,,Institutional support (centrally funded)
102,2026,2026_270,,Institutional support (centrally funded)
103,2026,2026_275,,Institutional support (centrally funded)
104,2026,2026_279,,Institutional support (centrally funded)
105,2026,2026_281,,Institutional support (centrally funded)
106,2026,2026_282,,Institutional support (centrally funded)
107,2026,2026_285,,Institutional support (centrally funded)
108,2026,2026_286,,Institutional support (centrally funded)
109,2026,2026_291,,Institutional support (centrally funded)
110,2026,2026_297,,Institutional support (centrally funded)
111,2026,2026_298,,Institutional support (centrally funded)
112,2026,2026_299,,Institutional support (centrally funded)
113,2026,2026_305,,Institutional support (centrally funded)
114,2026,2026_306,,Institutional support (centrally funded)
115,2026,2026_309,,Institutional support (centrally funded)
116,2026,2026_315,,Institutional support (centrally funded)
117,2026,2026_316,,Institutional support (centrally funded)
118,2026,2026_317,,Institutional support (centrally funded)
119,2026,2026_319,,Institutional support (centrally funded)
120,2026,2026_322,,Institutional support (centrally funded)
121,2026,2026_328,,Institutional support (centrally funded)
122,2026,2026_330,,Institutional support (centrally funded)
123,2026,2026_331,,Institutional support (centrally funded)
124,2026,2026_338,,Institutional support (centrally funded)
125,2026,2026_340,,Institutional support (centrally funded)
126,2026,2026_341,,Institutional support (centrally funded)
127,2026,2026_342,,Institutional support (centrally funded)
128,2026,2026_343,,Institutional support (centrally funded)
129,2026,2026_344,,Institutional support (centrally funded)
130,2026,2026_349,,Institutional support (centrally funded)
131,2026,2026_350,,Institutional support (centrally funded)
132,2026,2026_351,,Institutional support (centrally funded)
133,2026,2026_352,,Institutional support (centrally funded)
134,2026,2026_354,,Institutional support (centrally funded)
135,2026,2026_355,,Institutional support (centrally funded)
136,2026,2026_356,,Institutional support (centrally funded)
137,2026,2026_357,,Institutional support (centrally funded)
138,2026,2026_358,,Institutional support (centrally funded)
139,2026,2026_359,,Institutional support (centrally funded)
140,2026,2026_360,,Institutional support (centrally funded)
141,2026,2026_362,,Institutional support (centrally funded)
142,2026,2026_363,,Institutional support (centrally funded)
143,2026,2026_364,,Institutional support (centrally funded)
144,2026,2026_372,,Institutional support (centrally funded)
145,2026,2026_373,,Institutional support (centrally funded)
146,2026,2026_376,,Institutional support (centrally funded)
147,2026,2026_378,,Institutional support (centrally funded)
148,2026,2026_379,,Institutional support (centrally funded)
149,2026,2026_382,,Institutional support (centrally funded)
150,2026,2026_385,,Institutional support (centrally funded)
151,2026,2026_388,,Institutional support (centrally funded)
152,2026,2026_389,,Institutional support (centrally funded)
153,2026,2026_390,,Institutional support (centrally funded)
154,2026,2026_391,,Institutional support (centrally funded)
155,2026,2026_393,,Institutional support (centrally funded)
156,2026,2026_394,,Institutional support (centrally funded)
157,2026,2026_396,,Institutional support (centrally funded)
158,2026,2026_397,,Institutional support (centrally funded)
159,2026,2026_403,,Institutional support (centrally funded)
160,2026,2026_405,,Institutional support (centrally funded)
161,2026,2026_407,,Institutional support (centrally funded)
162,2026,2026_408,,Institutional support (centrally funded)
163,2026,2026_412,,Institutional support (centrally funded)
164,2026,2026_413,,Institutional support (centrally funded)
165,2026,2026_414,,Institutional support (centrally funded)
166,2026,2026_421,,Institutional support (centrally funded)
167,2026,2026_422,,Institutional support (centrally funded)
168,2026,2026_427,,Institutional support (centrally funded)
169,2026,2026_430,,Institutional support (centrally funded)
170,2026,2026_431,,Institutional support (centrally funded)
171,2026,2026_433,,Institutional support (centrally funded)
172,2026,2026_434,,Institutional support (centrally funded)
173,2026,2026_440,,Institutional support (centrally funded)
174,2026,2026_441,,Institutional support (centrally funded)
175,2026,2026_442,,Institutional support (centrally funded)
176,2026,2026_443,,Institutional support (centrally funded)
177,2026,2026_445,,Institutional support (centrally funded)
178,2026,2026_451,,Institutional support (centrally funded)
179,2026,2026_452,,Institutional support (centrally funded)
180,2026,2026_453,,Institutional support (centrally funded)
181,2026,2026_461,,Institutional support (centrally funded)
182,2026,2026_466,,Institutional support (centrally funded)
183,2026,2026_468,,Institutional support (centrally funded)
184,2026,2026_469,,Institutional support (centrally funded)
185,2026,2026_472,,Institutional support (centrally funded)
186,2026,2026_475,,Institutional support (centrally funded)
187,2026,2026_476,,Institutional support (centrally funded)
188,2026,2026_479,,Institutional support (centrally funded)
189,2026,2026_483,,Institutional support (centrally funded)
190,2026,2026_484,,Institutional support (centrally funded)
191,2026,2026_485,,Institutional support (centrally funded)
192,2026,2026_486,,Institutional support (centrally funded)
193,2026,2026_487,,Institutional support (centrally funded)
194,2026,2026_489,,Institutional support (centrally funded)
195,2026,2026_494,,Institutional support (centrally funded)
196,2026,2026_496,,Institutional support (centrally funded)
197,2026,2026_498,,Institutional support (centrally funded)
198,2026,2026_501,,Institutional support (centrally funded)
199,2026,2026_504,,Institutional support (centrally funded)
200,2026,2026_511,,Institutional support (centrally funded)
201,2026,2026_512,,Institutional support (centrally funded)
202,2026,2026_514,,Institutional support (centrally funded)
203,2026,2026_515,,Institutional support (centrally funded)
204,2026,2026_517,,Institutional support (centrally funded)
205,2026,2026_521,,Institutional support (centrally funded)
206,2026,2026_523,,Institutional support (centrally funded)
207,2026,2026_531,,Institutional support (centrally funded)
208,2026,2026_533,,Institutional support (centrally funded)
209,2026,2026_534,,Institutional support (centrally funded)
210,2026,2026_537,,Institutional support (centrally funded)
211,2026,2026_539,,Institutional support (centrally funded)
212,2026,2026_541,,Institutional support (centrally funded)
213,2026,2026_542,,Institutional support (centrally funded)
214,2026,2026_543,,Institutional support (centrally funded)
