,Year_0,row_id,fund3qnl_0
51,2026,2026_51,nwo
52,2026,2026_51,horizon europe
53,2026,2026_51,open science nl
138,2026,2026_135,nwo
139,2026,2026_135,horizon europe
239,2026,2026_235,eu
346,2026,2026_341,erc and horizon.
347,2026,2026_342,nwo
348,2026,2026_342,thematic dcc
349,2026,2026_342,lsri
357,2026,2026_350,horizon europe
370,2026,2026_363,all of the above
398,2026,2026_391,horizon europe
438,2026,2026_430,nwo
439,2026,2026_430,horizon europen
440,2026,2026_430,open science council
441,2026,2026_431,thematic
442,2026,2026_431,nwo
498,2026,2026_487,nwo
499,2026,2026_487,zonmw
500,2026,2026_487,horizon europe
517,2026,2026_504,nwo/open science council
518,2026,2026_504,zonmw
519,2026,2026_504,horizon europe
520,2026,2026_505,nwo + groeifonds
521,2026,2026_506,nwo
554,2026,2026_539,nwo
586,2026,2026_571,nwo
587,2026,2026_571,erc
588,2026,2026_571,horizon europe
837,2026,2026_820,ukri
838,2026,2026_820,bioimaging
965,2026,2026_946,nwo vidi
973,2026,2026_954,erc
974,2026,2026_954,horizon europe
1024,2026,2026_1004,internal university grant
1129,2026,2026_1109,nwo
