,Year_0,row_id,org4nord[other]_0,org4nord
0,2026,2026_283,,In-house development of research software
1,2026,2026_296,,In-house development of research software
2,2026,2026_375,,In-house development of research software
3,2026,2026_386,,In-house development of research software
4,2026,2026_388,,In-house development of research software
5,2026,2026_513,,In-house development of research software
6,2026,2026_514,,In-house development of research software
7,2026,2026_517,,In-house development of research software
8,2026,2026_546,,In-house development of research software
9,2026,2026_968,,In-house development of research software
10,2026,2026_972,,In-house development of research software
11,2026,2026_1073,,In-house development of research software
12,2026,2026_1089,,In-house development of research software
13,2026,2026_1101,,In-house development of research software
14,2026,2026_1117,,In-house development of research software
15,2026,2026_1135,,In-house development of research software
16,2026,2026_1145,,In-house development of research software
17,2026,2026_196,,Temporary support of research software projects with manpower
18,2026,2026_296,,Temporary support of research software projects with manpower
19,2026,2026_330,,Temporary support of research software projects with manpower
20,2026,2026_388,,Temporary support of research software projects with manpower
21,2026,2026_408,,Temporary support of research software projects with manpower
22,2026,2026_415,,Temporary support of research software projects with manpower
23,2026,2026_513,,Temporary support of research software projects with manpower
24,2026,2026_514,,Temporary support of research software projects with manpower
25,2026,2026_515,,Temporary support of research software projects with manpower
26,2026,2026_543,,Temporary support of research software projects with manpower
27,2026,2026_546,,Temporary support of research software projects with manpower
28,2026,2026_968,,Temporary support of research software projects with manpower
29,2026,2026_972,,Temporary support of research software projects with manpower
30,2026,2026_1031,,Temporary support of research software projects with manpower
31,2026,2026_1039,,Temporary support of research software projects with manpower
32,2026,2026_1068,,Temporary support of research software projects with manpower
33,2026,2026_1073,,Temporary support of research software projects with manpower
34,2026,2026_1075,,Temporary support of research software projects with manpower
35,2026,2026_1080,,Temporary support of research software projects with manpower
36,2026,2026_1088,,Temporary support of research software projects with manpower
37,2026,2026_1101,,Temporary support of research software projects with manpower
38,2026,2026_1113,,Temporary support of research software projects with manpower
39,2026,2026_196,,Maintenance of internationally relevant research software
40,2026,2026_200,,Maintenance of internationally relevant research software
41,2026,2026_283,,Maintenance of internationally relevant research software
42,2026,2026_296,,Maintenance of internationally relevant research software
43,2026,2026_330,,Maintenance of internationally relevant research software
44,2026,2026_375,,Maintenance of internationally relevant research software
45,2026,2026_386,,Maintenance of internationally relevant research software
46,2026,2026_388,,Maintenance of internationally relevant research software
47,2026,2026_405,,Maintenance of internationally relevant research software
48,2026,2026_513,,Maintenance of internationally relevant research software
49,2026,2026_515,,Maintenance of internationally relevant research software
50,2026,2026_543,,Maintenance of internationally relevant research software
51,2026,2026_544,,Maintenance of internationally relevant research software
52,2026,2026_545,,Maintenance of internationally relevant research software
53,2026,2026_546,,Maintenance of internationally relevant research software
54,2026,2026_768,,Maintenance of internationally relevant research software
55,2026,2026_972,,Maintenance of internationally relevant research software
56,2026,2026_1012,,Maintenance of internationally relevant research software
57,2026,2026_1039,,Maintenance of internationally relevant research software
58,2026,2026_1057,,Maintenance of internationally relevant research software
59,2026,2026_1068,,Maintenance of internationally relevant research software
60,2026,2026_1069,,Maintenance of internationally relevant research software
61,2026,2026_1070,,Maintenance of internationally relevant research software
62,2026,2026_1072,,Maintenance of internationally relevant research software
63,2026,2026_1073,,Maintenance of internationally relevant research software
64,2026,2026_1075,,Maintenance of internationally relevant research software
65,2026,2026_1080,,Maintenance of internationally relevant research software
66,2026,2026_1088,,Maintenance of internationally relevant research software
67,2026,2026_1101,,Maintenance of internationally relevant research software
68,2026,2026_1116,,Maintenance of internationally relevant research software
69,2026,2026_1117,,Maintenance of internationally relevant research software
70,2026,2026_1133,"Clarify difference between scripts and software (many don't seem to know the difference, anyone generating scripts to analyze data does not constitute software)",Maintenance of internationally relevant research software
71,2026,2026_1135,,Maintenance of internationally relevant research software
72,2026,2026_283,,Consulting on research software development
73,2026,2026_296,,Consulting on research software development
74,2026,2026_317,,Consulting on research software development
75,2026,2026_330,,Consulting on research software development
76,2026,2026_373,"Personal grants for RSE (fellowships, travel grants)",Consulting on research software development
77,2026,2026_375,,Consulting on research software development
78,2026,2026_377,,Consulting on research software development
79,2026,2026_388,,Consulting on research software development
80,2026,2026_408,,Consulting on research software development
81,2026,2026_415,,Consulting on research software development
82,2026,2026_514,,Consulting on research software development
83,2026,2026_543,,Consulting on research software development
84,2026,2026_546,,Consulting on research software development
85,2026,2026_816,,Consulting on research software development
86,2026,2026_967,,Consulting on research software development
87,2026,2026_968,,Consulting on research software development
88,2026,2026_972,,Consulting on research software development
89,2026,2026_1013,,Consulting on research software development
90,2026,2026_1039,,Consulting on research software development
91,2026,2026_1068,,Consulting on research software development
92,2026,2026_1071,,Consulting on research software development
93,2026,2026_1072,,Consulting on research software development
94,2026,2026_1073,,Consulting on research software development
95,2026,2026_1080,,Consulting on research software development
96,2026,2026_1088,,Consulting on research software development
97,2026,2026_1089,,Consulting on research software development
98,2026,2026_1101,,Consulting on research software development
99,2026,2026_1113,,Consulting on research software development
100,2026,2026_1116,,Consulting on research software development
101,2026,2026_1117,,Consulting on research software development
102,2026,2026_1124,,Consulting on research software development
103,2026,2026_1128,,Consulting on research software development
104,2026,2026_1134,,Consulting on research software development
105,2026,2026_1135,,Consulting on research software development
106,2026,2026_1145,,Consulting on research software development
107,2026,2026_196,,
108,2026,2026_200,,
109,2026,2026_283,,
110,2026,2026_289,,
111,2026,2026_296,,
112,2026,2026_317,,
113,2026,2026_330,,
114,2026,2026_373,"Personal grants for RSE (fellowships, travel grants)",
115,2026,2026_375,,
116,2026,2026_377,,
117,2026,2026_386,,
118,2026,2026_388,,
119,2026,2026_405,,
120,2026,2026_407,,
121,2026,2026_415,,
122,2026,2026_515,,
123,2026,2026_543,,
124,2026,2026_545,,
125,2026,2026_546,,
126,2026,2026_768,,
127,2026,2026_929,,
128,2026,2026_967,,
129,2026,2026_1012,,
130,2026,2026_1013,,
131,2026,2026_1031,,
132,2026,2026_1057,,
133,2026,2026_1071,,
134,2026,2026_1072,,
135,2026,2026_1073,,
136,2026,2026_1080,,
137,2026,2026_1093,Lobby for funding from funding agencies to invest in research software projects and maintenance of existing software projects,
138,2026,2026_1113,,
139,2026,2026_1116,,
140,2026,2026_1117,,
141,2026,2026_1124,,
142,2026,2026_1125,,
143,2026,2026_1135,,
144,2026,2026_1145,,
145,2026,2026_1159,,
146,2026,2026_317,,Research on RSE topics
147,2026,2026_330,,Research on RSE topics
148,2026,2026_373,"Personal grants for RSE (fellowships, travel grants)",Research on RSE topics
149,2026,2026_377,,Research on RSE topics
150,2026,2026_405,,Research on RSE topics
151,2026,2026_407,,Research on RSE topics
152,2026,2026_415,,Research on RSE topics
153,2026,2026_546,,Research on RSE topics
154,2026,2026_816,,Research on RSE topics
155,2026,2026_914,,Research on RSE topics
156,2026,2026_929,,Research on RSE topics
157,2026,2026_967,,Research on RSE topics
