,socio1_0,salary_nord_currency_0,salary_nord_0,nord_clean_socio4,socio4_0,socio10_0
0,Denmark,DKK,588000,DKK 588000.0,,
1,Denmark,DKK,648000,DKK 648000.0,,
2,Denmark,DKK,640000,DKK 640000.0,,
3,Estonia,EUR,42000,EUR 42000.0,,
4,Estonia,eur,42000,EUR 42000.0,,
5,Estonia,EUR,31200,EUR 31200.0,,
6,Estonia,EUR,48000,EUR 48000.0,,
7,Estonia,EUR,36000,EUR 36000.0,,
8,Estonia,EUR,48000,EUR 48000.0,,
9,Estonia,EUR,40000,EUR 40000.0,,
10,Finland,EUR,"57,500.00",EUR 57500.0,,
11,Finland,3900,50000,EUR 50000.0,,
12,Finland,EUR,47000,EUR 47000.0,,
13,Finland,EUR,2600,EUR 31200.0,,
14,Finland,EUR,56400,EUR 56400.0,,
15,Finland,EUR,60000,EUR 60000.0,,
16,Finland,EUR,50000,EUR 50000.0,,
17,Finland,EUR,50000,EUR 50000.0,,
18,Finland,€,45000,EUR 45000.0,,
19,Finland,EUR,3850,EUR 46200.0,,
20,Finland,EUR,"27,000",EUR 27000.0,,
21,Finland,EUR,68000,EUR 68000.0,,
22,Finland,EUR,70000,EUR 70000.0,,
23,Finland,EUR,3800,EUR 45600.0,,
24,Finland,3550 EUR,42600,EUR 42600.0,,
25,Finland,EUR,51000,EUR 51000.0,,
26,Finland,EUR,62000,EUR 62000.0,,
27,Germany,,,,Between 55.000 and 65.999 EUR,E13
28,Germany,,,,Between 66.000 and 76.999 EUR,E13
29,Germany,,,,Between 77.000 and 109.999 EUR,E14
30,Germany,,,,Between 38.500 and 43.999 EUR,E9
31,Germany,,,,Between 66.000 and 76.999 EUR,E13
32,Germany,,,,Between 44.000 and 49.999 EUR,E13
33,Germany,,,,Between 27.500 and 32.999 EUR,E13
34,Germany,,,,Prefer not to say,E14
35,Germany,,,,Prefer not to say,E15
36,Germany,,,,Between 66.000 and 76.999 EUR,E13
37,Germany,,,,Between 66.000 and 76.999 EUR,E13
38,Germany,,,,Prefer not to say,E13
39,Germany,,,,Between 55.000 and 65.999 EUR,E13
40,Germany,,,,Between 77.000 and 109.999 EUR,E13
41,Germany,,,,Between 77.000 and 109.999 EUR,E15
42,Germany,,,,Between 66.000 and 76.999 EUR,E13
43,Germany,,,,Between 77.000 and 109.999 EUR,E13
44,Germany,,,,Between 55.000 and 65.999 EUR,E14
45,Germany,,,,Between 55.000 and 65.999 EUR,E11
46,Germany,,,,Prefer not to say,E13
47,Germany,,,,Between 66.000 and 76.999 EUR,E13
48,Germany,,,,Between 77.000 and 109.999 EUR,E14
49,Germany,,,,Between 77.000 and 109.999 EUR,E13
50,Germany,,,,Between 66.000 and 76.999 EUR,E14
51,Germany,,,,Between 66.000 and 76.999 EUR,E11
52,Germany,,,,Between 66.000 and 76.999 EUR,E13
53,Germany,,,,Between 77.000 and 109.999 EUR,E15
54,Germany,,,,Between 66.000 and 76.999 EUR,E13
55,Germany,,,,Between 50.000 and 54.999 EUR,E13
56,Germany,,,,Between 55.000 and 65.999 EUR,E12
57,Germany,,,,Between 66.000 and 76.999 EUR,
58,Germany,,,,Between 55.000 and 65.999 EUR,E13
