,Year_0,row_id,turnOver4zaf[other]_0,turnOver4zaf
0,2026,2026_47,,Analysis code
1,2026,2026_366,,Analysis code
2,2026,2026_562,,Analysis code
3,2026,2026_570,,Analysis code
4,2026,2026_572,,Analysis code
5,2026,2026_573,,Analysis code
6,2026,2026_581,,Analysis code
7,2026,2026_584,,Analysis code
8,2026,2026_589,,Analysis code
9,2026,2026_591,,Analysis code
10,2026,2026_598,,Analysis code
11,2026,2026_622,,Analysis code
12,2026,2026_631,,Analysis code
13,2026,2026_644,specialized workflows and pipelines,Analysis code
14,2026,2026_657,,Analysis code
15,2026,2026_741,,Analysis code
16,2026,2026_748,,Analysis code
17,2026,2026_749,,Analysis code
18,2026,2026_751,,Analysis code
19,2026,2026_756,,Analysis code
20,2026,2026_826,,Analysis code
21,2026,2026_829,web based data resources,Analysis code
22,2026,2026_831,,Analysis code
23,2026,2026_846,,Analysis code
24,2026,2026_900,,Analysis code
25,2026,2026_978,,Analysis code
26,2026,2026_982,,Analysis code
27,2026,2026_986,,Analysis code
28,2026,2026_987,,Analysis code
29,2026,2026_991,,Analysis code
30,2026,2026_992,,Analysis code
31,2026,2026_1000,,Analysis code
32,2026,2026_1001,,Analysis code
33,2026,2026_570,,Prototype tools
34,2026,2026_573,,Prototype tools
35,2026,2026_657,,Prototype tools
36,2026,2026_748,,Prototype tools
37,2026,2026_775,,Prototype tools
38,2026,2026_788,,Prototype tools
39,2026,2026_831,,Prototype tools
40,2026,2026_846,,Prototype tools
41,2026,2026_867,,Prototype tools
42,2026,2026_900,,Prototype tools
43,2026,2026_978,,Prototype tools
44,2026,2026_982,,Prototype tools
45,2026,2026_986,,Prototype tools
46,2026,2026_992,,Prototype tools
47,2026,2026_1161,Comprehensive offline Whisper-based transcription editor with dataset capabilities and subs file system to correct underrepresented languages.,Prototype tools
48,2026,2026_322,,Research software infrastructure
49,2026,2026_366,,Research software infrastructure
50,2026,2026_562,,Research software infrastructure
51,2026,2026_570,,Research software infrastructure
52,2026,2026_573,,Research software infrastructure
53,2026,2026_584,,Research software infrastructure
54,2026,2026_589,,Research software infrastructure
55,2026,2026_598,,Research software infrastructure
56,2026,2026_643,,Research software infrastructure
57,2026,2026_741,,Research software infrastructure
58,2026,2026_749,,Research software infrastructure
59,2026,2026_756,,Research software infrastructure
60,2026,2026_788,,Research software infrastructure
61,2026,2026_815,,Research software infrastructure
62,2026,2026_829,web based data resources,Research software infrastructure
63,2026,2026_867,,Research software infrastructure
64,2026,2026_895,"Databases, interfaces, novel software",Research software infrastructure
65,2026,2026_900,,Research software infrastructure
66,2026,2026_978,,Research software infrastructure
67,2026,2026_982,,Research software infrastructure
68,2026,2026_987,,Research software infrastructure
69,2026,2026_1000,,Research software infrastructure
70,2026,2026_1001,,Research software infrastructure
71,2026,2026_727,,Not applicable
